,District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield,JANUARY_NDVI,FEBRUARY_NDVI,JUNE_NDVI,JULY_NDVI,AUGUST_NDVI,SEPTEMBER_NDVI,OCTOBER_NDVI,NOVEMBER_NDVI,DECEMBER_NDVI
0,Bidar,Arhar/Tur, 1997-98,Kharif     ,48463.0,3499.0,0.0721994098590677,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,Bidar,Arhar/Tur, 1998-99,Kharif     ,54354.0,41464.0,0.7628509401332009,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,Bidar,Arhar/Tur, 1999-00,Kharif     ,56604.0,44847.0,0.7922938308246771,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,Bidar,Arhar/Tur, 2000-01,Kharif     ,62518.0,23757.0,0.380002559262932,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,Bidar,Arhar/Tur, 2001-02,Kharif     ,64077.0,24349.0,0.379995942381822,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
5,Bidar,Arhar/Tur, 2002-03,Kharif     ,67313.0,40990.0,0.6089462659515991,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
6,Bidar,Arhar/Tur, 2003-04,Kharif     ,73792.0,31967.0,0.43320414137033797,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
7,Bidar,Arhar/Tur, 2004-05,Kharif     ,70100.0,44286.0,0.6317546362339511,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
8,Bidar,Arhar/Tur, 2005-06,Kharif     ,69344.0,56522.0,0.815095754499308,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
9,Bidar,Arhar/Tur, 2006-07,Kharif     ,69189.0,34902.0,0.504444348090014,0.38,0.289,0.382,0.4270000000000001,0.565,0.59,0.6409999999999999,0.578,0.483
10,Bidar,Arhar/Tur, 2007-08,Kharif     ,66110.0,48422.0,0.732445923460899,0.327,0.292,0.275,0.419,0.626,0.674,0.598,0.515,0.443
11,Bidar,Arhar/Tur, 2008-09,Kharif     ,62667.0,50782.0,0.810346753474716,0.375,0.287,0.25,0.295,0.537,0.645,0.618,0.5489999999999999,0.512
12,Bidar,Arhar/Tur, 2009-10,Kharif     ,67000.0,49647.0,0.741,0.424,0.32299999999999995,0.278,0.353,0.386,0.612,0.631,0.596,0.54
13,Bidar,Arhar/Tur, 2010-11,Kharif     ,72728.0,65568.0,0.901550984490155,0.465,0.369,0.254,0.27,0.6409999999999999,0.6990000000000001,0.636,0.6509999999999999,0.546
14,Bidar,Arhar/Tur, 2011-12,Kharif     ,76010.0,44842.0,0.5899486909617161,0.371,0.305,0.306,0.353,0.386,0.612,0.631,0.596,0.445
15,Bidar,Arhar/Tur, 2012-13,Kharif     ,68625.0,82666.0,1.20460473588342,0.39,0.322,0.238,0.452,0.708,0.7190000000000001,0.659,0.644,0.519
16,Bidar,Arhar/Tur, 2013-14,Kharif     ,73270.0,59305.0,0.8094035758154771,0.466,0.348,0.317,0.429,0.603,0.7040000000000001,0.685,0.639,0.59
17,Bidar,Arhar/Tur, 2014-15,Kharif     ,65965.0,44243.0,0.670704161297658,0.3720000000000001,0.316,0.298,0.369,0.561,0.6809999999999999,0.622,0.504,0.434
18,Bidar,Arhar/Tur, 2015-16,Kharif     ,67453.0,29797.0,0.441744622181371,0.315,0.251,0.305,0.436,0.588,0.6920000000000001,0.626,0.491,0.391
19,Bidar,Arhar/Tur, 2016-17,Kharif     ,81611.0,101487.0,1.2435456004705199,0.43,0.35600000000000004,0.251,0.4920000000000001,0.706,0.67,0.6509999999999999,0.5660000000000001,0.4970000000000001
20,Bidar,Arhar/Tur, 2017-18,Kharif     ,78680.0,129909.0,1.65110574478902,0.41,0.333,0.315,0.45,0.634,0.737,0.7240000000000001,0.6579999999999999,0.557
21,Bidar,Arhar/Tur, 2018-19,Kharif     ,77019.0,34828.0,0.452200106467235,0.36,0.287,0.312,0.406,0.615,0.715,0.604,0.477,0.414
22,Bidar,Bajra, 1997-98,Kharif     ,14756.0,9500.0,0.643805909460558,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
23,Bidar,Bajra, 1998-99,Kharif     ,13994.0,6398.0,0.457195941117622,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
24,Bidar,Bajra, 1999-00,Kharif     ,8690.0,6722.0,0.773532796317606,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
25,Bidar,Bajra, 2000-01,Kharif     ,9808.0,7442.0,0.7587683523654158,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
26,Bidar,Bajra, 2001-02,Kharif     ,8672.0,5038.0,0.580950184501845,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
27,Bidar,Bajra, 2002-03,Kharif     ,8364.0,6234.0,0.745337159253945,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
28,Bidar,Bajra, 2003-04,Kharif     ,10039.0,9804.0,0.976591293953581,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
29,Bidar,Bajra, 2004-05,Kharif     ,8912.0,7744.0,0.8689407540394971,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
30,Bidar,Bajra, 2005-06,Kharif     ,9577.0,6050.0,0.6317218335595699,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
31,Bidar,Bajra, 2006-07,Kharif     ,9430.0,7831.0,0.830434782608696,0.38,0.289,0.382,0.4270000000000001,0.565,0.59,0.6409999999999999,0.578,0.483
32,Bidar,Bajra, 2007-08,Kharif     ,8077.0,8456.0,1.0469233626346401,0.327,0.292,0.275,0.419,0.626,0.674,0.598,0.515,0.443
33,Bidar,Bajra, 2008-09,Kharif     ,7219.0,7065.0,0.97866740545782,0.375,0.287,0.25,0.295,0.537,0.645,0.618,0.5489999999999999,0.512
34,Bidar,Bajra, 2009-10,Kharif     ,7943.0,4377.0,0.55105124008561,0.424,0.32299999999999995,0.278,0.353,0.386,0.612,0.631,0.596,0.54
35,Bidar,Bajra, 2010-11,Kharif     ,6717.0,5117.0,0.761798421914545,0.465,0.369,0.254,0.27,0.6409999999999999,0.6990000000000001,0.636,0.6509999999999999,0.546
36,Bidar,Bajra, 2011-12,Kharif     ,6414.0,5837.0,0.910040536326785,0.371,0.305,0.306,0.353,0.386,0.612,0.631,0.596,0.445
37,Bidar,Bajra, 2012-13,Kharif     ,5110.0,5772.0,1.1295499021526398,0.39,0.322,0.238,0.452,0.708,0.7190000000000001,0.659,0.644,0.519
38,Bidar,Bajra, 2013-14,Kharif     ,2939.0,3356.0,1.14188499489622,0.466,0.348,0.317,0.429,0.603,0.7040000000000001,0.685,0.639,0.59
39,Bidar,Bajra, 2014-15,Kharif     ,3724.0,3743.0,1.00510204081633,0.3720000000000001,0.316,0.298,0.369,0.561,0.6809999999999999,0.622,0.504,0.434
40,Bidar,Bajra, 2015-16,Kharif     ,5348.0,3765.0,0.704001495886313,0.315,0.251,0.305,0.436,0.588,0.6920000000000001,0.626,0.491,0.391
41,Bidar,Bajra, 2016-17,Kharif     ,1878.0,1252.0,0.666666666666667,0.43,0.35600000000000004,0.251,0.4920000000000001,0.706,0.67,0.6509999999999999,0.5660000000000001,0.4970000000000001
42,Bidar,Bajra, 2017-18,Kharif     ,2290.0,3322.0,1.45065502183406,0.41,0.333,0.315,0.45,0.634,0.737,0.7240000000000001,0.6579999999999999,0.557
43,Bidar,Bajra, 2018-19,Kharif     ,409.0,312.0,0.762836185819071,0.36,0.287,0.312,0.406,0.615,0.715,0.604,0.477,0.414
44,Bidar,Banana, 1999-00,Whole Year ,411.0,9644.0,23.4647201946472,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
45,Bidar,Banana, 2000-01,Whole Year ,469.0,8622.0,18.3837953091684,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
46,Bidar,Banana, 2002-03,Whole Year ,249.0,2846.0,11.429718875502,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
47,Bidar,Banana, 2003-04,Whole Year ,189.0,3500.0,18.5185185185185,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
48,Bidar,Banana, 2004-05,Whole Year ,63.0,2573.0,40.8412698412698,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
49,Bidar,Banana, 2005-06,Whole Year ,207.0,2458.0,11.874396135265698,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
50,Bidar,Banana, 2006-07,Whole Year ,195.0,3893.0,19.964102564102603,0.38,0.289,0.382,0.4270000000000001,0.565,0.59,0.6409999999999999,0.578,0.483
51,Bidar,Banana, 2007-08,Whole Year ,114.0,2016.0,17.684210526315802,0.327,0.292,0.275,0.419,0.626,0.674,0.598,0.515,0.443
52,Bidar,Banana, 2008-09,Whole Year ,147.0,5647.0,38.4149659863946,0.375,0.287,0.25,0.295,0.537,0.645,0.618,0.5489999999999999,0.512
53,Bidar,Banana, 2009-10,Whole Year ,174.0,3859.0,22.1781609195402,0.424,0.32299999999999995,0.278,0.353,0.386,0.612,0.631,0.596,0.54
54,Bidar,Banana, 2010-11,Whole Year ,219.0,5144.0,23.4885844748858,0.465,0.369,0.254,0.27,0.6409999999999999,0.6990000000000001,0.636,0.6509999999999999,0.546
55,Bidar,Banana, 2011-12,Whole Year ,92.0,2299.0,24.9891304347826,0.371,0.305,0.306,0.353,0.386,0.612,0.631,0.596,0.445
56,Bidar,Black pepper, 1999-00,Whole Year ,4.0,10.0,2.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
57,Bidar,Black pepper, 2008-09,Whole Year ,1.0,4.0,4.0,0.375,0.287,0.25,0.295,0.537,0.645,0.618,0.5489999999999999,0.512
58,Bidar,Black pepper, 2015-16,Whole Year ,2.0,1.5,0.75,0.315,0.251,0.305,0.436,0.588,0.6920000000000001,0.626,0.491,0.391
59,Bidar,Cashewnut, 2008-09,Whole Year ,39.0,23.97681,0.61479,0.375,0.287,0.25,0.295,0.537,0.645,0.618,0.5489999999999999,0.512
60,Bidar,Cashewnut, 2009-10,Whole Year ,36.0,27.0,0.75,0.424,0.32299999999999995,0.278,0.353,0.386,0.612,0.631,0.596,0.54
61,Bidar,Cashewnut, 2010-11,Whole Year ,66.0,48.0,0.7272727272727271,0.465,0.369,0.254,0.27,0.6409999999999999,0.6990000000000001,0.636,0.6509999999999999,0.546
62,Bidar,Cashewnut, 2011-12,Whole Year ,79.0,63.0,0.79746835443038,0.371,0.305,0.306,0.353,0.386,0.612,0.631,0.596,0.445
63,Bidar,Cashewnut, 2012-13,Whole Year ,61.0,49.0,0.80327868852459,0.39,0.322,0.238,0.452,0.708,0.7190000000000001,0.659,0.644,0.519
64,Bidar,Cashewnut, 2013-14,Whole Year ,62.0,55.0,0.8870967741935479,0.466,0.348,0.317,0.429,0.603,0.7040000000000001,0.685,0.639,0.59
65,Bidar,Cashewnut, 2014-15,Whole Year ,97.0,72.0,0.7422680412371129,0.3720000000000001,0.316,0.298,0.369,0.561,0.6809999999999999,0.622,0.504,0.434
66,Bidar,Cashewnut, 2015-16,Whole Year ,21.0,14.0,0.666666666666667,0.315,0.251,0.305,0.436,0.588,0.6920000000000001,0.626,0.491,0.391
67,Bidar,Cashewnut, 2016-17,Whole Year ,16.0,9.0,0.5625,0.43,0.35600000000000004,0.251,0.4920000000000001,0.706,0.67,0.6509999999999999,0.5660000000000001,0.4970000000000001
68,Bidar,Cashewnut, 2018-19,Whole Year ,142.0,171.0,1.20422535211268,0.36,0.287,0.312,0.406,0.615,0.715,0.604,0.477,0.414
69,Bidar,Castor seed, 2013-14,Kharif     ,8.0,7.0,0.875,0.466,0.348,0.317,0.429,0.603,0.7040000000000001,0.685,0.639,0.59
70,Bidar,Castor seed, 2014-15,Kharif     ,11.0,7.0,0.6363636363636359,0.3720000000000001,0.316,0.298,0.369,0.561,0.6809999999999999,0.622,0.504,0.434
71,Bidar,Castor seed, 2016-17,Kharif     ,27.0,13.0,0.48148148148148107,0.43,0.35600000000000004,0.251,0.4920000000000001,0.706,0.67,0.6509999999999999,0.5660000000000001,0.4970000000000001
72,Bidar,Castor seed, 2017-18,Kharif     ,13.0,8.0,0.615384615384615,0.41,0.333,0.315,0.45,0.634,0.737,0.7240000000000001,0.6579999999999999,0.557
73,Bidar,Castor seed, 2018-19,Kharif     ,1.0,1.0,1.0,0.36,0.287,0.312,0.406,0.615,0.715,0.604,0.477,0.414
74,Bidar,Coconut , 1998-99,Whole Year ,2.0,10000.0,5000.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
75,Bidar,Coconut , 1999-00,Whole Year ,3.0,14000.0,4666.666666666671,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
76,Bidar,Coconut , 2000-01,Whole Year ,3.0,14000.0,4666.666666666671,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
77,Bidar,Coconut , 2001-02,Whole Year ,27.0,129000.0,4777.777777777779,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
