,District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield,JANUARY_NDVI,FEBRUARY_NDVI,JUNE_NDVI,JULY_NDVI,AUGUST_NDVI,SEPTEMBER_NDVI,OCTOBER_NDVI,NOVEMBER_NDVI,DECEMBER_NDVI
0,Bijapur,Arecanut, 2018-19,Whole Year ,3.0,27.0,9.0,0.333,0.282,0.292,0.285,0.343,0.491,0.508,0.449,0.39
1,Bijapur,Arhar/Tur, 1997-98,Kharif     ,20286.0,2428.0,0.119688455092182,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,Bijapur,Arhar/Tur, 1998-99,Kharif     ,14304.0,5191.0,0.36290548098434,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,Bijapur,Arhar/Tur, 1999-00,Kharif     ,20462.0,11197.0,0.547209461440719,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,Bijapur,Arhar/Tur, 2000-01,Kharif     ,30781.0,18013.0,0.585198661511972,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
5,Bijapur,Arhar/Tur, 2001-02,Kharif     ,11863.0,4339.0,0.365759082862682,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
6,Bijapur,Arhar/Tur, 2002-03,Kharif     ,18001.0,6037.0,0.335370257207933,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
7,Bijapur,Arhar/Tur, 2003-04,Kharif     ,21604.0,5418.0,0.250786891316423,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
8,Bijapur,Arhar/Tur, 2004-05,Kharif     ,36948.0,7055.0,0.19094402944678998,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
9,Bijapur,Arhar/Tur, 2005-06,Kharif     ,38153.0,15404.0,0.403742824941682,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
10,Bijapur,Arhar/Tur, 2006-07,Kharif     ,48162.0,20818.0,0.432249491300195,0.358,0.28,0.284,0.301,0.326,0.359,0.464,0.528,0.484
11,Bijapur,Arhar/Tur, 2007-08,Kharif     ,78533.0,34394.0,0.437956018489043,0.311,0.29600000000000004,0.247,0.305,0.408,0.482,0.482,0.477,0.431
12,Bijapur,Arhar/Tur, 2008-09,Kharif     ,48686.0,19287.0,0.396150844185187,0.344,0.277,0.243,0.196,0.307,0.401,0.456,0.465,0.444
13,Bijapur,Arhar/Tur, 2009-10,Kharif     ,104091.0,31050.0,0.29829668271032106,0.434,0.343,0.261,0.299,0.341,0.504,0.511,0.4920000000000001,0.478
14,Bijapur,Arhar/Tur, 2010-11,Kharif     ,189677.0,107215.0,0.5652503993631279,0.4,0.327,0.272,0.281,0.371,0.535,0.56,0.58,0.495
15,Bijapur,Arhar/Tur, 2011-12,Kharif     ,102093.0,38601.0,0.378096441479827,0.332,0.28600000000000003,0.276,0.299,0.341,0.504,0.511,0.491,0.389
16,Bijapur,Arhar/Tur, 2012-13,Kharif     ,86199.0,50689.0,0.588046265037877,0.358,0.306,0.23,0.251,0.293,0.416,0.505,0.545,0.473
17,Bijapur,Arhar/Tur, 2013-14,Kharif     ,180625.0,170564.0,0.944298961937716,0.376,0.324,0.253,0.262,0.411,0.5589999999999999,0.611,0.57,0.469
18,Bijapur,Arhar/Tur, 2014-15,Kharif     ,187324.0,114783.0,0.6127511690973929,0.384,0.322,0.292,0.308,0.349,0.514,0.551,0.562,0.469
19,Bijapur,Arhar/Tur, 2015-16,Kharif     ,135696.0,39576.0,0.291651927838698,0.333,0.271,0.284,0.277,0.294,0.41,0.463,0.476,0.4270000000000001
20,Bijapur,Arhar/Tur, 2016-17,Kharif     ,388932.0,330320.0,0.849300134727922,0.339,0.304,0.254,0.302,0.484,0.544,0.653,0.5429999999999999,0.406
21,Bijapur,Arhar/Tur, 2017-18,Kharif     ,262563.0,159638.0,0.607998842182638,0.404,0.329,0.276,0.31,0.3670000000000001,0.647,0.679,0.633,0.512
22,Bijapur,Arhar/Tur, 2018-19,Kharif     ,520937.0,167273.0,0.321100248206597,0.333,0.282,0.292,0.285,0.343,0.491,0.508,0.449,0.39
23,Bijapur,Bajra, 1997-98,Kharif     ,94756.0,40777.0,0.430336865211702,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
24,Bijapur,Bajra, 1998-99,Kharif     ,88693.0,64614.0,0.728512960436562,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
25,Bijapur,Bajra, 1999-00,Kharif     ,114012.0,73692.0,0.646353015472056,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
26,Bijapur,Bajra, 2000-01,Kharif     ,111741.0,89582.0,0.8016932012421579,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
27,Bijapur,Bajra, 2001-02,Kharif     ,10298.0,5437.0,0.527966595455428,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
28,Bijapur,Bajra, 2002-03,Kharif     ,55607.0,22679.0,0.40784433614473,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
29,Bijapur,Bajra, 2003-04,Kharif     ,36571.0,21145.0,0.5781903694183921,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
