,District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield,JANUARY_NDVI,FEBRUARY_NDVI,JUNE_NDVI,JULY_NDVI,AUGUST_NDVI,SEPTEMBER_NDVI,OCTOBER_NDVI,NOVEMBER_NDVI,DECEMBER_NDVI
0,DAKSHIN KANNAD,Arecanut, 1997-98,Whole Year ,24727.0,44112.0,1.7839608525094,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,DAKSHIN KANNAD,Arecanut, 1998-99,Whole Year ,21698.0,181622.0,8.37044888929855,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,DAKSHIN KANNAD,Arecanut, 2000-01,Whole Year ,25447.0,45397.0,1.78398239478131,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,DAKSHIN KANNAD,Arecanut, 2001-02,Whole Year ,25578.0,45631.0,1.7839940573930702,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,DAKSHIN KANNAD,Arecanut, 2003-04,Whole Year ,27092.0,48332.0,1.7839952753580401,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
5,DAKSHIN KANNAD,Arecanut, 2004-05,Whole Year ,27209.0,48540.0,1.7839685398213798,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
6,DAKSHIN KANNAD,Arecanut, 2005-06,Whole Year ,27338.0,228831.0,8.37043675470042,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
7,DAKSHIN KANNAD,Arecanut, 2006-07,Whole Year ,27481.0,49026.0,1.78399621556712,0.61,0.579,0.594,0.551,0.608,0.72,0.758,0.736,0.645
8,DAKSHIN KANNAD,Arecanut, 2007-08,Whole Year ,27532.0,230455.0,8.37044166787738,0.5710000000000001,0.574,0.613,0.537,0.599,0.6809999999999999,0.72,0.713,0.614
9,DAKSHIN KANNAD,Arecanut, 2008-09,Whole Year ,27575.0,230815.0,8.37044424297371,0.61,0.568,0.5820000000000001,0.58,0.5539999999999999,0.67,0.7290000000000001,0.693,0.622
10,DAKSHIN KANNAD,Arecanut, 2009-10,Whole Year ,27645.0,231401.0,8.370446735395191,0.665,0.626,0.6459999999999999,0.5920000000000001,0.631,0.6890000000000001,0.736,0.708,0.648
11,DAKSHIN KANNAD,Arecanut, 2010-11,Whole Year ,27668.0,339926.0,12.2858898366344,0.642,0.601,0.626,0.6,0.65,0.665,0.7290000000000001,0.73,0.6659999999999999
12,DAKSHIN KANNAD,Arecanut, 2011-12,Whole Year ,27734.0,342934.0,12.365111415590999,0.61,0.578,0.591,0.591,0.631,0.6890000000000001,0.736,0.708,0.627
13,DAKSHIN KANNAD,Arecanut, 2012-13,Whole Year ,27921.0,345246.0,12.3651015364779,0.611,0.613,0.573,0.627,0.605,0.677,0.735,0.711,0.6709999999999999
14,DAKSHIN KANNAD,Arecanut, 2013-14,Whole Year ,28232.0,357756.0,12.672003400396699,0.619,0.599,0.483,0.539,0.595,0.701,0.7390000000000001,0.7190000000000001,0.664
15,DAKSHIN KANNAD,Arecanut, 2014-15,Whole Year ,35183.0,447929.0,12.7314043714294,0.637,0.6,0.645,0.622,0.633,0.743,0.7509999999999999,0.713,0.6709999999999999
16,DAKSHIN KANNAD,Arecanut, 2015-16,Whole Year ,35409.0,370005.0,10.449462001186099,0.645,0.61,0.649,0.623,0.7140000000000001,0.758,0.78,0.738,0.7
17,DAKSHIN KANNAD,Arecanut, 2016-17,Whole Year ,36725.0,450109.0,12.2562014976174,0.629,0.611,0.555,0.5529999999999999,0.653,0.657,0.738,0.6990000000000001,0.6679999999999999
18,DAKSHIN KANNAD,Arecanut, 2017-18,Whole Year ,39396.0,425512.0,10.800893491724999,0.632,0.597,0.588,0.614,0.643,0.71,0.7340000000000001,0.7190000000000001,0.6759999999999999
19,DAKSHIN KANNAD,Arecanut, 2018-19,Whole Year ,84157.0,700266.0,8.32094775241513,0.598,0.595,0.634,0.465,0.604,0.7390000000000001,0.738,0.701,0.6809999999999999
20,DAKSHIN KANNAD,Arhar/Tur, 2018-19,Kharif     ,1.0,1.0,1.0,0.598,0.595,0.634,0.465,0.604,0.7390000000000001,0.738,0.701,0.6809999999999999
21,DAKSHIN KANNAD,Bajra, 2018-19,Kharif     ,4.0,4.0,1.0,0.598,0.595,0.634,0.465,0.604,0.7390000000000001,0.738,0.701,0.6809999999999999
22,DAKSHIN KANNAD,Banana, 1999-00,Whole Year ,1891.0,56940.0,30.1110523532522,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
23,DAKSHIN KANNAD,Banana, 2000-01,Whole Year ,2911.0,64912.0,22.298866368945397,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
24,DAKSHIN KANNAD,Banana, 2002-03,Whole Year ,3495.0,71931.0,20.5811158798283,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
25,DAKSHIN KANNAD,Banana, 2003-04,Whole Year ,4494.0,38783.0,8.6299510458389,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
26,DAKSHIN KANNAD,Banana, 2004-05,Whole Year ,5220.0,64952.0,12.4429118773946,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
27,DAKSHIN KANNAD,Banana, 2005-06,Whole Year ,8032.0,15301.0,1.9050049800796798,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
28,DAKSHIN KANNAD,Banana, 2006-07,Whole Year ,3089.0,10444.0,3.38102945937197,0.61,0.579,0.594,0.551,0.608,0.72,0.758,0.736,0.645
29,DAKSHIN KANNAD,Banana, 2007-08,Whole Year ,3132.0,3154.0,1.00702426564496,0.5710000000000001,0.574,0.613,0.537,0.599,0.6809999999999999,0.72,0.713,0.614
30,DAKSHIN KANNAD,Banana, 2008-09,Whole Year ,3128.0,3804.0,1.21611253196931,0.61,0.568,0.5820000000000001,0.58,0.5539999999999999,0.67,0.7290000000000001,0.693,0.622
31,DAKSHIN KANNAD,Banana, 2009-10,Whole Year ,3135.0,7888.0,2.51610845295056,0.665,0.626,0.6459999999999999,0.5920000000000001,0.631,0.6890000000000001,0.736,0.708,0.648
