,District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield,JANUARY_NDVI,FEBRUARY_NDVI,JUNE_NDVI,JULY_NDVI,AUGUST_NDVI,SEPTEMBER_NDVI,OCTOBER_NDVI,NOVEMBER_NDVI,DECEMBER_NDVI
0,DAVANGERE,Arecanut, 1998-99,Whole Year ,12332.0,57723.0,4.68074927019137,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,DAVANGERE,Arecanut, 2000-01,Whole Year ,14476.0,13944.0,0.9632495164410059,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,DAVANGERE,Arecanut, 2001-02,Whole Year ,19487.0,18771.0,0.963257556319598,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,DAVANGERE,Arecanut, 2003-04,Whole Year ,21235.0,20455.0,0.9632681893101009,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,DAVANGERE,Arecanut, 2004-05,Whole Year ,22015.0,21206.0,0.9632523279582099,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
5,DAVANGERE,Arecanut, 2005-06,Whole Year ,23241.0,108785.0,4.68073662923282,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
6,DAVANGERE,Arecanut, 2006-07,Whole Year ,22779.0,21942.0,0.963255630185697,0.359,0.34,0.386,0.421,0.55,0.611,0.622,0.5429999999999999,0.436
7,DAVANGERE,Arecanut, 2007-08,Whole Year ,24229.0,113409.0,4.680713194931691,0.381,0.377,0.348,0.416,0.561,0.626,0.613,0.5589999999999999,0.452
8,DAVANGERE,Arecanut, 2008-09,Whole Year ,26931.0,126056.0,4.6807025361108,0.375,0.364,0.377,0.359,0.505,0.675,0.63,0.557,0.452
9,DAVANGERE,Arecanut, 2009-10,Whole Year ,28518.0,133485.0,4.6807279612876105,0.429,0.429,0.392,0.416,0.539,0.701,0.67,0.58,0.453
10,DAVANGERE,Arecanut, 2010-11,Whole Year ,33336.0,422764.0,12.6819054475642,0.443,0.4,0.387,0.373,0.552,0.698,0.691,0.606,0.51
11,DAVANGERE,Arecanut, 2011-12,Whole Year ,32199.0,260754.0,8.09820180750955,0.363,0.364,0.411,0.416,0.539,0.701,0.67,0.58,0.417
