,District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield,JANUARY_NDVI,FEBRUARY_NDVI,JUNE_NDVI,JULY_NDVI,AUGUST_NDVI,SEPTEMBER_NDVI,OCTOBER_NDVI,NOVEMBER_NDVI,DECEMBER_NDVI
0,Gulbarga,Arecanut, 2018-19,Whole Year ,1.0,9.0,9.0,0.359,0.285,0.292,0.333,0.429,0.642,0.632,0.5329999999999999,0.431
1,Gulbarga,Arhar/Tur, 1997-98,Kharif     ,238994.0,60394.0,0.252700904625221,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,Gulbarga,Arhar/Tur, 1998-99,Kharif     ,273391.0,124147.0,0.4541005373256621,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,Gulbarga,Arhar/Tur, 1999-00,Kharif     ,311666.0,181795.0,0.583300712942701,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,Gulbarga,Arhar/Tur, 2000-01,Kharif     ,366678.0,164418.0,0.448398867671363,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
5,Gulbarga,Arhar/Tur, 2001-02,Kharif     ,318250.0,81329.0,0.255550667714061,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
6,Gulbarga,Arhar/Tur, 2002-03,Kharif     ,335663.0,161667.0,0.48163485400535705,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
7,Gulbarga,Arhar/Tur, 2003-04,Kharif     ,349894.0,136616.0,0.39044967904565403,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
8,Gulbarga,Arhar/Tur, 2004-05,Kharif     ,345723.0,177356.0,0.5130002921413961,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
9,Gulbarga,Arhar/Tur, 2005-06,Kharif     ,382765.0,273447.0,0.714399174428174,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
