,District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield,JANUARY_NDVI,FEBRUARY_NDVI,JUNE_NDVI,JULY_NDVI,AUGUST_NDVI,SEPTEMBER_NDVI,OCTOBER_NDVI,NOVEMBER_NDVI,DECEMBER_NDVI
0,Koppal,Arhar/Tur, 1998-99,Kharif     ,13481.0,2818.0,0.209034938060975,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,Koppal,Arhar/Tur, 1999-00,Kharif     ,13009.0,3745.0,0.28787762318395,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,Koppal,Arhar/Tur, 2000-01,Kharif     ,12649.0,4230.0,0.334413787651198,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,Koppal,Arhar/Tur, 2001-02,Kharif     ,7572.0,1806.0,0.23851030110934998,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,Koppal,Arhar/Tur, 2002-03,Kharif     ,11252.0,2159.0,0.191876999644508,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
5,Koppal,Arhar/Tur, 2003-04,Kharif     ,11083.0,1727.0,0.15582423531534803,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
6,Koppal,Arhar/Tur, 2004-05,Kharif     ,11807.0,2490.0,0.21089184382146203,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
7,Koppal,Arhar/Tur, 2005-06,Kharif     ,12798.0,5860.0,0.457884044381935,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
8,Koppal,Arhar/Tur, 2006-07,Kharif     ,10810.0,2003.0,0.18529139685476395,0.309,0.322,0.317,0.339,0.333,0.377,0.462,0.486,0.355
9,Koppal,Arhar/Tur, 2007-08,Kharif     ,9449.0,5081.0,0.537728860196846,0.37,0.362,0.264,0.332,0.417,0.496,0.516,0.473,0.384
10,Koppal,Arhar/Tur, 2008-09,Kharif     ,9479.0,4151.0,0.437915391918979,0.355,0.34700000000000003,0.28,0.259,0.35,0.469,0.501,0.465,0.419
11,Koppal,Arhar/Tur, 2009-10,Kharif     ,11005.0,2415.0,0.21944570649704698,0.41,0.398,0.324,0.359,0.345,0.526,0.55,0.503,0.424
