,District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield,JANUARY_NDVI,FEBRUARY_NDVI,JUNE_NDVI,JULY_NDVI,AUGUST_NDVI,SEPTEMBER_NDVI,OCTOBER_NDVI,NOVEMBER_NDVI,DECEMBER_NDVI
0,Mandya,Arecanut, 1997-98,Whole Year ,630.0,881.0,1.3984126984127,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,Mandya,Arecanut, 1998-99,Whole Year ,674.0,4539.0,6.73442136498516,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,Mandya,Arecanut, 2000-01,Whole Year ,700.0,979.0,1.39857142857143,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,Mandya,Arecanut, 2001-02,Whole Year ,732.0,1023.0,1.39754098360656,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,Mandya,Arecanut, 2003-04,Whole Year ,816.0,1141.0,1.39828431372549,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
5,Mandya,Arecanut, 2004-05,Whole Year ,879.0,1229.0,1.3981797497155901,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
6,Mandya,Arecanut, 2005-06,Whole Year ,833.0,5610.0,6.7346938775510194,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
7,Mandya,Arecanut, 2006-07,Whole Year ,868.0,1213.0,1.39746543778802,0.443,0.412,0.5479999999999999,0.486,0.444,0.528,0.601,0.622,0.547
8,Mandya,Arecanut, 2007-08,Whole Year ,620.0,4176.0,6.73548387096774,0.458,0.456,0.48,0.455,0.479,0.56,0.639,0.618,0.546
9,Mandya,Arecanut, 2008-09,Whole Year ,653.0,4398.0,6.73506891271057,0.459,0.417,0.522,0.456,0.443,0.595,0.662,0.634,0.574
10,Mandya,Arecanut, 2009-10,Whole Year ,851.0,5731.0,6.7344300822561705,0.508,0.455,0.565,0.468,0.418,0.607,0.652,0.645,0.563
11,Mandya,Arecanut, 2010-11,Whole Year ,873.0,9440.0,10.8132875143184,0.508,0.457,0.563,0.484,0.495,0.58,0.687,0.682,0.617
12,Mandya,Arecanut, 2011-12,Whole Year ,883.0,7151.0,8.09852774631937,0.501,0.448,0.583,0.468,0.418,0.607,0.652,0.645,0.585
13,Mandya,Arecanut, 2012-13,Whole Year ,1081.0,8676.0,8.0259019426457,0.454,0.428,0.546,0.466,0.441,0.48,0.601,0.638,0.5379999999999999
14,Mandya,Arecanut, 2013-14,Whole Year ,986.0,10983.0,11.1389452332657,0.472,0.463,0.462,0.445,0.449,0.602,0.608,0.655,0.541
15,Mandya,Arecanut, 2014-15,Whole Year ,674.0,6236.0,9.25222551928783,0.513,0.464,0.573,0.498,0.467,0.5379999999999999,0.706,0.674,0.586
16,Mandya,Arecanut, 2015-16,Whole Year ,873.0,8557.0,9.801832760595651,0.515,0.469,0.6609999999999999,0.53,0.541,0.618,0.6809999999999999,0.6970000000000001,0.657
17,Mandya,Arecanut, 2016-17,Whole Year ,565.0,5739.0,10.1575221238938,0.485,0.431,0.493,0.511,0.513,0.51,0.588,0.563,0.517
18,Mandya,Arecanut, 2017-18,Whole Year ,370.0,4013.0,10.8459459459459,0.5,0.457,0.59,0.487,0.463,0.633,0.705,0.677,0.614
19,Mandya,Arecanut, 2018-19,Whole Year ,1842.0,16447.0,8.928881650380019,0.502,0.477,0.64,0.513,0.469,0.584,0.672,0.649,0.5660000000000001
20,Mandya,Arhar/Tur, 1997-98,Kharif     ,1806.0,422.0,0.23366555924695498,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
21,Mandya,Arhar/Tur, 1998-99,Kharif     ,2060.0,959.0,0.46553398058252404,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
22,Mandya,Arhar/Tur, 1999-00,Kharif     ,1220.0,695.0,0.569672131147541,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
