,District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield,JANUARY_NDVI,FEBRUARY_NDVI,JUNE_NDVI,JULY_NDVI,AUGUST_NDVI,SEPTEMBER_NDVI,OCTOBER_NDVI,NOVEMBER_NDVI,DECEMBER_NDVI
0,YADGIR,Arhar/Tur, 2010-11,Kharif     ,67495.0,48218.0,0.7143936587895401,0.42,0.401,0.28,0.354,0.521,0.629,0.667,0.623,0.5
1,YADGIR,Arhar/Tur, 2011-12,Kharif     ,77524.0,29975.0,0.386654455394458,0.398,0.3720000000000001,0.294,0.302,0.312,0.503,0.5770000000000001,0.56,0.463
2,YADGIR,Arhar/Tur, 2012-13,Kharif     ,61773.0,34389.0,0.556699528920402,0.415,0.399,0.241,0.327,0.386,0.528,0.599,0.578,0.495
3,YADGIR,Arhar/Tur, 2013-14,Kharif     ,82658.0,66589.0,0.805596554477486,0.444,0.414,0.257,0.299,0.4320000000000001,0.644,0.6829999999999999,0.603,0.495
4,YADGIR,Arhar/Tur, 2014-15,Kharif     ,44909.0,28414.0,0.632701685630943,0.442,0.407,0.297,0.313,0.386,0.632,0.665,0.624,0.508
5,YADGIR,Arhar/Tur, 2015-16,Kharif     ,79846.0,23666.0,0.296395561455802,0.381,0.322,0.294,0.293,0.38,0.579,0.627,0.5489999999999999,0.449
6,YADGIR,Arhar/Tur, 2016-17,Kharif     ,91971.0,76888.0,0.8360026530101881,0.417,0.424,0.275,0.358,0.481,0.5479999999999999,0.68,0.618,0.469
7,YADGIR,Arhar/Tur, 2017-18,Kharif     ,58035.0,59213.0,1.02029809597657,0.483,0.458,0.299,0.337,0.43,0.67,0.723,0.6629999999999999,0.523
8,YADGIR,Arhar/Tur, 2018-19,Kharif     ,110119.0,74798.0,0.6792469964311341,0.38,0.319,0.297,0.32299999999999995,0.375,0.584,0.625,0.534,0.4270000000000001
9,YADGIR,Bajra, 2010-11,Kharif     ,23349.0,18167.0,0.778063300355476,0.42,0.401,0.28,0.354,0.521,0.629,0.667,0.623,0.5
10,YADGIR,Bajra, 2010-11,Rabi       ,76.0,50.0,0.657894736842105,0.42,0.401,0.28,0.354,0.521,0.629,0.667,0.623,0.5
11,YADGIR,Bajra, 2010-11,Summer     ,617.0,462.0,0.748784440842788,0.42,0.401,0.28,0.354,0.521,0.629,0.667,0.623,0.5
12,YADGIR,Bajra, 2011-12,Kharif     ,17401.0,9655.0,0.554853169358083,0.398,0.3720000000000001,0.294,0.302,0.312,0.503,0.5770000000000001,0.56,0.463
13,YADGIR,Bajra, 2011-12,Rabi       ,828.0,545.0,0.658212560386473,0.398,0.3720000000000001,0.294,0.302,0.312,0.503,0.5770000000000001,0.56,0.463
14,YADGIR,Bajra, 2011-12,Summer     ,621.0,647.0,1.04186795491143,0.398,0.3720000000000001,0.294,0.302,0.312,0.503,0.5770000000000001,0.56,0.463
15,YADGIR,Bajra, 2012-13,Kharif     ,21183.0,18977.0,0.8958598876457541,0.415,0.399,0.241,0.327,0.386,0.528,0.599,0.578,0.495
16,YADGIR,Bajra, 2013-14,Kharif     ,19647.0,20531.0,1.04499414668906,0.444,0.414,0.257,0.299,0.4320000000000001,0.644,0.6829999999999999,0.603,0.495
17,YADGIR,Bajra, 2014-15,Kharif     ,16160.0,15552.0,0.962376237623762,0.442,0.407,0.297,0.313,0.386,0.632,0.665,0.624,0.508
18,YADGIR,Bajra, 2015-16,Kharif     ,14742.0,10350.0,0.7020757020757019,0.381,0.322,0.294,0.293,0.38,0.579,0.627,0.5489999999999999,0.449
