District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield
Bangalore Rural,Arecanut, 1998-99,Whole Year ,479.0,3226,6.73486430062631
Bangalore Rural,Arecanut, 2000-01,Whole Year ,514.0,719,1.3988326848249
Bangalore Rural,Arecanut, 2001-02,Whole Year ,1828.0,2557,1.39879649890591
Bangalore Rural,Arecanut, 2003-04,Whole Year ,1998.0,2795,1.3988988988989
Bangalore Rural,Arecanut, 2004-05,Whole Year ,1975.0,2763,1.39898734177215
Bangalore Rural,Arecanut, 2005-06,Whole Year ,2099.0,14137,6.73511195807527
Bangalore Rural,Arecanut, 2006-07,Whole Year ,2257.0,3157,1.39875941515286
Bangalore Rural,Arecanut, 2007-08,Whole Year ,1377.0,9274,6.73493100944081
Bangalore Rural,Arecanut, 2008-09,Whole Year ,1338.0,9011,6.73467862481315
Bangalore Rural,Arecanut, 2009-10,Whole Year ,1100.0,7408,6.73454545454545
Bangalore Rural,Arecanut, 2010-11,Whole Year ,1213.0,13116,10.8128606760099
Bangalore Rural,Arecanut, 2011-12,Whole Year ,1615.0,13079,8.0984520123839
Bangalore Rural,Arecanut, 2012-13,Whole Year ,1380.0,11076,8.02608695652174
Bangalore Rural,Arecanut, 2013-14,Whole Year ,1695.0,18880,11.1386430678466
Bangalore Rural,Arecanut, 2014-15,Whole Year ,1519.0,14055,9.25279789335089
Bangalore Rural,Arecanut, 2015-16,Whole Year ,1569.0,15379,9.80178457616316
Bangalore Rural,Arecanut, 2016-17,Whole Year ,2322.0,23588,10.1584840654608
Bangalore Rural,Arecanut, 2017-18,Whole Year ,1911.0,20726,10.8456305599163
Bangalore Rural,Arecanut, 2018-19,Whole Year ,2924.0,26108,8.92886456908345
Bangalore Rural,Arhar/Tur, 1998-99,Kharif     ,5522.0,2151,0.389532777978993
Bangalore Rural,Arhar/Tur, 1999-00,Kharif     ,5556.0,3473,0.625089992800576
Bangalore Rural,Arhar/Tur, 2000-01,Kharif     ,4725.0,3407,0.721058201058201
Bangalore Rural,Arhar/Tur, 2001-02,Kharif     ,4503.0,2798,0.621363535420831
Bangalore Rural,Arhar/Tur, 2002-03,Kharif     ,3136.0,1278,0.407525510204082
Bangalore Rural,Arhar/Tur, 2003-04,Kharif     ,4572.0,1842,0.402887139107612
Bangalore Rural,Arhar/Tur, 2004-05,Kharif     ,5331.0,4269,0.800787844682048
Bangalore Rural,Arhar/Tur, 2005-06,Kharif     ,4557.0,3429,0.752468729427255
Bangalore Rural,Arhar/Tur, 2006-07,Kharif     ,4160.0,1715,0.412259615384615
Bangalore Rural,Arhar/Tur, 2007-08,Kharif     ,1296.0,1069,0.824845679012346
Bangalore Rural,Arhar/Tur, 2008-09,Kharif     ,1340.0,1419,1.0589552238806
Bangalore Rural,Arhar/Tur, 2009-10,Kharif     ,1306.0,1069,0.818529862174579
Bangalore Rural,Arhar/Tur, 2010-11,Kharif     ,1640.0,1806,1.10121951219512
Bangalore Rural,Arhar/Tur, 2011-12,Kharif     ,1650.0,1014,0.614545454545454
Bangalore Rural,Arhar/Tur, 2012-13,Kharif     ,1197.0,729,0.609022556390977
Bangalore Rural,Arhar/Tur, 2013-14,Kharif     ,1274.0,815,0.639717425431711
Bangalore Rural,Arhar/Tur, 2014-15,Kharif     ,1554.0,1736,1.11711711711712
Bangalore Rural,Arhar/Tur, 2015-16,Kharif     ,1416.0,527,0.372175141242938
Bangalore Rural,Arhar/Tur, 2016-17,Kharif     ,1274.0,2301,1.80612244897959
Bangalore Rural,Arhar/Tur, 2017-18,Kharif     ,1347.0,1144,0.849294729027469
Bangalore Rural,Arhar/Tur, 2018-19,Kharif     ,815.0,782,0.959509202453988
Bangalore Rural,Bajra, 2005-06,Kharif     ,33.0,19,0.575757575757576
Bangalore Rural,Bajra, 2006-07,Kharif     ,6.0,3,0.5
Bangalore Rural,Bajra, 2007-08,Kharif     ,4.0,3,0.75
Bangalore Rural,Bajra, 2008-09,Kharif     ,4.0,2,0.5
Bangalore Rural,Bajra, 2009-10,Kharif     ,4.0,2,0.5
Bangalore Rural,Bajra, 2010-11,Kharif     ,4.0,4,1
Bangalore Rural,Bajra, 2011-12,Kharif     ,4.0,3,0.75
Bangalore Rural,Bajra, 2012-13,Kharif     ,5.0,5,1
Bangalore Rural,Bajra, 2015-16,Kharif     ,7.0,5,0.714285714285714
Bangalore Rural,Bajra, 2016-17,Kharif     ,5.0,5,1
Bangalore Rural,Bajra, 2017-18,Kharif     ,1.0,2,2
Bangalore Rural,Bajra, 2018-19,Kharif     ,11.0,10,0.909090909090909
Bangalore Rural,Banana, 1999-00,Whole Year ,2467.0,46158,18.7101743007702
Bangalore Rural,Banana, 2000-01,Whole Year ,2320.0,31503,13.5788793103448
Bangalore Rural,Banana, 2002-03,Whole Year ,2046.0,25082,12.2590420332356
Bangalore Rural,Banana, 2003-04,Whole Year ,1910.0,21873,11.451832460733
Bangalore Rural,Banana, 2004-05,Whole Year ,3128.0,53351,17.0559462915601
Bangalore Rural,Banana, 2005-06,Whole Year ,3407.0,48182,14.1420604637511
Bangalore Rural,Banana, 2006-07,Whole Year ,3317.0,264763,79.8200180886343
Bangalore Rural,Banana, 2007-08,Whole Year ,1173.0,34141,29.1057118499574
Bangalore Rural,Banana, 2008-09,Whole Year ,1054.0,26183,24.8415559772296
Bangalore Rural,Banana, 2009-10,Whole Year ,1172.0,39752,33.9180887372014
Bangalore Rural,Banana, 2010-11,Whole Year ,1288.0,46157,35.8361801242236
Bangalore Rural,Banana, 2011-12,Whole Year ,875.0,31914,36.4731428571429
Bangalore Rural,Black pepper, 1999-00,Whole Year ,5.0,12,2.4
Bangalore Rural,Black pepper, 2000-01,Whole Year ,8.0,19,2.375
Bangalore Rural,Black pepper, 2001-02,Whole Year ,5.0,12,2.4
Bangalore Rural,Black pepper, 2002-03,Whole Year ,2.0,5,2.5
Bangalore Rural,Black pepper, 2003-04,Whole Year ,3.0,7,2.33333333333333
Bangalore Rural,Black pepper, 2004-05,Whole Year ,26.0,63,2.42307692307692
Bangalore Rural,Black pepper, 2005-06,Whole Year ,1.0,2,2
Bangalore Rural,Black pepper, 2007-08,Whole Year ,1.0,3,3
Bangalore Rural,Black pepper, 2008-09,Whole Year ,1.0,4,4
Bangalore Rural,Black pepper, 2009-10,Whole Year ,1.0,4,4
Bangalore Rural,Black pepper, 2010-11,Whole Year ,1.0,0.6,0.6
Bangalore Rural,Black pepper, 2012-13,Whole Year ,1.0,3,3
Bangalore Rural,Black pepper, 2013-14,Whole Year ,1.0,2,2
Bangalore Rural,Black pepper, 2014-15,Whole Year ,1.0,0.6,0.6
Bangalore Rural,Black pepper, 2015-16,Whole Year ,2.0,1.5,0.75
Bangalore Rural,Cardamom, 2005-06,Whole Year ,1.0,nan,0
Bangalore Rural,Cardamom, 2008-09,Whole Year ,1.0,nan,0
Bangalore Rural,Cardamom, 2010-11,Whole Year ,1.0,nan,0
Bangalore Rural,Cardamom, 2018-19,Whole Year ,2.0,0.2,0.1
Bangalore Rural,Cashewnut, 2008-09,Whole Year ,44.0,27.05076,0.61479
