District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield
Belgaum,Arecanut, 2003-04,Whole Year ,2.0,3,1.5
Belgaum,Arecanut, 2004-05,Whole Year ,8.0,11,1.375
Belgaum,Arecanut, 2005-06,Whole Year ,9.0,58,6.44444444444444
Belgaum,Arecanut, 2006-07,Whole Year ,9.0,12,1.33333333333333
Belgaum,Arecanut, 2007-08,Whole Year ,7.0,45,6.42857142857143
Belgaum,Arecanut, 2008-09,Whole Year ,7.0,45,6.42857142857143
Belgaum,Arecanut, 2009-10,Whole Year ,7.0,45,6.42857142857143
Belgaum,Arecanut, 2010-11,Whole Year ,1.0,11,11
Belgaum,Arecanut, 2011-12,Whole Year ,4.0,32,8
Belgaum,Arecanut, 2013-14,Whole Year ,2.0,22,11
Belgaum,Arecanut, 2014-15,Whole Year ,7.0,65,9.28571428571429
Belgaum,Arecanut, 2015-16,Whole Year ,4.0,39,9.75
Belgaum,Arecanut, 2016-17,Whole Year ,3.0,30,10
Belgaum,Arecanut, 2018-19,Whole Year ,12.0,107,8.91666666666667
Belgaum,Arhar/Tur, 1997-98,Kharif     ,11268.0,1820,0.161519346822861
Belgaum,Arhar/Tur, 1998-99,Kharif     ,8602.0,3645,0.423738665426645
Belgaum,Arhar/Tur, 1999-00,Kharif     ,8564.0,4491,0.524404483886035
Belgaum,Arhar/Tur, 2000-01,Kharif     ,10227.0,3818,0.373325510902513
Belgaum,Arhar/Tur, 2001-02,Kharif     ,3813.0,779,0.204301075268817
Belgaum,Arhar/Tur, 2002-03,Kharif     ,5200.0,1245,0.239423076923077
Belgaum,Arhar/Tur, 2003-04,Kharif     ,2346.0,283,0.120630861040068
Belgaum,Arhar/Tur, 2004-05,Kharif     ,5517.0,1730,0.313576218959579
Belgaum,Arhar/Tur, 2005-06,Kharif     ,6100.0,1727,0.283114754098361
Belgaum,Arhar/Tur, 2006-07,Kharif     ,5658.0,1666,0.294450335807706
Belgaum,Arhar/Tur, 2007-08,Kharif     ,5702.0,2346,0.411434584356366
Belgaum,Arhar/Tur, 2008-09,Kharif     ,4237.0,1715,0.404767524191645
Belgaum,Arhar/Tur, 2009-10,Kharif     ,4671.0,1424,0.304859773067866
Belgaum,Arhar/Tur, 2010-11,Kharif     ,5623.0,1955,0.347679174817713
Belgaum,Arhar/Tur, 2011-12,Kharif     ,4160.0,1636,0.393269230769231
