District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield
Bellary,Arecanut, 1997-98,Whole Year ,64.0,92,1.4375
Bellary,Arecanut, 1998-99,Whole Year ,6.0,40,6.66666666666667
Bellary,Arecanut, 2000-01,Whole Year ,19.0,27,1.42105263157895
Bellary,Arecanut, 2001-02,Whole Year ,26.0,37,1.42307692307692
Bellary,Arecanut, 2003-04,Whole Year ,30.0,43,1.43333333333333
Bellary,Arecanut, 2004-05,Whole Year ,32.0,46,1.4375
Bellary,Arecanut, 2005-06,Whole Year ,58.0,389,6.70689655172414
Bellary,Arecanut, 2006-07,Whole Year ,62.0,89,1.43548387096774
Bellary,Arecanut, 2007-08,Whole Year ,62.0,416,6.70967741935484
Bellary,Arecanut, 2008-09,Whole Year ,62.0,416,6.70967741935484
Bellary,Arecanut, 2009-10,Whole Year ,74.0,496,6.7027027027027
Bellary,Arecanut, 2010-11,Whole Year ,103.0,1114,10.8155339805825
Bellary,Arecanut, 2011-12,Whole Year ,108.0,875,8.10185185185185
Bellary,Arecanut, 2012-13,Whole Year ,132.0,1059,8.02272727272727
Bellary,Arecanut, 2013-14,Whole Year ,10.0,111,11.1
Bellary,Arecanut, 2014-15,Whole Year ,1.0,9,9
Bellary,Arecanut, 2016-17,Whole Year ,11.0,112,10.1818181818182
Bellary,Arecanut, 2017-18,Whole Year ,14.0,152,10.8571428571429
Bellary,Arecanut, 2018-19,Whole Year ,1558.0,13911,8.92875481386393
Bellary,Arhar/Tur, 1997-98,Kharif     ,10477.0,3324,0.317266393051446
Bellary,Arhar/Tur, 1998-99,Kharif     ,7563.0,2234,0.295385429062541
Bellary,Arhar/Tur, 1999-00,Kharif     ,8551.0,3396,0.39714653256929
Bellary,Arhar/Tur, 2000-01,Kharif     ,9645.0,3958,0.410368066355625
Bellary,Arhar/Tur, 2001-02,Kharif     ,5944.0,2451,0.412348586810229
Bellary,Arhar/Tur, 2002-03,Kharif     ,7906.0,2704,0.342018719959524
Bellary,Arhar/Tur, 2003-04,Kharif     ,5526.0,1774,0.321027868259139
Bellary,Arhar/Tur, 2004-05,Kharif     ,8889.0,4982,0.560467994150073
Bellary,Arhar/Tur, 2005-06,Kharif     ,10655.0,5628,0.528202721726889
Bellary,Arhar/Tur, 2006-07,Kharif     ,9353.0,4363,0.466481342884636
Bellary,Arhar/Tur, 2007-08,Kharif     ,9917.0,5398,0.544317838055864
Bellary,Arhar/Tur, 2008-09,Kharif     ,9640.0,4854,0.503526970954357
Bellary,Arhar/Tur, 2009-10,Kharif     ,8938.0,3303,0.36954575967778
Bellary,Arhar/Tur, 2010-11,Kharif     ,10544.0,4367,0.414169195751138
Bellary,Arhar/Tur, 2011-12,Kharif     ,9066.0,2989,0.329693359805868
Bellary,Arhar/Tur, 2012-13,Kharif     ,5127.0,1802,0.351472596060074
Bellary,Arhar/Tur, 2013-14,Kharif     ,3325.0,1614,0.485413533834586
Bellary,Arhar/Tur, 2014-15,Kharif     ,3427.0,1319,0.384884738838634
Bellary,Arhar/Tur, 2015-16,Kharif     ,2931.0,1041,0.355168884339816
Bellary,Arhar/Tur, 2016-17,Kharif     ,11946.0,7036,0.588983760254479
Bellary,Arhar/Tur, 2017-18,Kharif     ,9363.0,7694,0.821745167147282
Bellary,Arhar/Tur, 2018-19,Kharif     ,13708.0,9168,0.668806536329151
Bellary,Bajra, 1997-98,Kharif     ,14047.0,7221,0.514059941624546
Bellary,Bajra, 1997-98,Summer     ,820.0,662,0.807317073170732
Bellary,Bajra, 1998-99,Kharif     ,25918.0,24114,0.930395863878386
Bellary,Bajra, 1998-99,Rabi       ,451.0,536,1.18847006651885
Bellary,Bajra, 1998-99,Summer     ,846.0,498,0.588652482269503
Bellary,Bajra, 1999-00,Kharif     ,21565.0,13334,0.618316716902388
Bellary,Bajra, 2000-01,Kharif     ,25729.0,21054,0.818298418127405
Bellary,Bajra, 2000-01,Rabi       ,160.0,129,0.80625
