District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield
CHITRADURGA,Arecanut, 1997-98,Whole Year ,7524.0,7248,0.963317384370016
CHITRADURGA,Arecanut, 1998-99,Whole Year ,6113.0,28613,4.68068051693113
CHITRADURGA,Arecanut, 2000-01,Whole Year ,9827.0,9466,0.96326447542485
CHITRADURGA,Arecanut, 2001-02,Whole Year ,12153.0,11707,0.963301242491566
CHITRADURGA,Arecanut, 2003-04,Whole Year ,14366.0,13838,0.963246554364472
CHITRADURGA,Arecanut, 2004-05,Whole Year ,14498.0,13965,0.963236308456339
CHITRADURGA,Arecanut, 2005-06,Whole Year ,12688.0,59389,4.68072194199243
CHITRADURGA,Arecanut, 2006-07,Whole Year ,14820.0,14276,0.963292847503374
CHITRADURGA,Arecanut, 2007-08,Whole Year ,15318.0,71699,4.68070244157201
CHITRADURGA,Arecanut, 2008-09,Whole Year ,15465.0,72387,4.68069835111542
CHITRADURGA,Arecanut, 2009-10,Whole Year ,16545.0,77443,4.68074947113932
CHITRADURGA,Arecanut, 2010-11,Whole Year ,16229.0,160667,9.89999383819089
CHITRADURGA,Arecanut, 2011-12,Whole Year ,16363.0,132511,8.09820937480902
CHITRADURGA,Arecanut, 2012-13,Whole Year ,17251.0,138455,8.02591154135992
CHITRADURGA,Arecanut, 2013-14,Whole Year ,16848.0,217251,12.894764957265
CHITRADURGA,Arecanut, 2014-15,Whole Year ,17190.0,194006,11.2859802210588
CHITRADURGA,Arecanut, 2015-16,Whole Year ,17506.0,179375,10.2464869187707
CHITRADURGA,Arecanut, 2016-17,Whole Year ,17663.0,160962,9.11294797033347
CHITRADURGA,Arecanut, 2017-18,Whole Year ,24244.0,260057,10.7266540174889
CHITRADURGA,Arecanut, 2018-19,Whole Year ,34385.0,379729,11.0434491784208
CHITRADURGA,Arhar/Tur, 1997-98,Kharif     ,10247.0,4225,0.412315799746267
CHITRADURGA,Arhar/Tur, 1998-99,Kharif     ,7582.0,3393,0.447507254022685
CHITRADURGA,Arhar/Tur, 1999-00,Kharif     ,7924.0,3139,0.396138313982837
CHITRADURGA,Arhar/Tur, 2000-01,Kharif     ,7848.0,4921,0.62703873598369
CHITRADURGA,Arhar/Tur, 2001-02,Kharif     ,7248.0,3642,0.502483443708609
CHITRADURGA,Arhar/Tur, 2002-03,Kharif     ,7458.0,4124,0.552963260927863
CHITRADURGA,Arhar/Tur, 2003-04,Kharif     ,6743.0,1768,0.262197834791636
CHITRADURGA,Arhar/Tur, 2004-05,Kharif     ,7746.0,5320,0.686806093467596
CHITRADURGA,Arhar/Tur, 2005-06,Kharif     ,8177.0,5282,0.64595817536994
CHITRADURGA,Arhar/Tur, 2006-07,Kharif     ,7480.0,3610,0.482620320855615
CHITRADURGA,Arhar/Tur, 2007-08,Kharif     ,7366.0,4940,0.670648927504752
CHITRADURGA,Arhar/Tur, 2008-09,Kharif     ,9533.0,4284,0.449386342179797
CHITRADURGA,Arhar/Tur, 2009-10,Kharif     ,8012.0,4635,0.578507239141288
CHITRADURGA,Arhar/Tur, 2010-11,Kharif     ,15239.0,10887,0.714416956493208
CHITRADURGA,Arhar/Tur, 2011-12,Kharif     ,8567.0,5233,0.610832263336057
CHITRADURGA,Arhar/Tur, 2012-13,Kharif     ,6382.0,4165,0.652616734565967
CHITRADURGA,Arhar/Tur, 2013-14,Kharif     ,8957.0,7250,0.809422797811767
CHITRADURGA,Arhar/Tur, 2014-15,Kharif     ,8728.0,7205,0.825504124656279
CHITRADURGA,Arhar/Tur, 2015-16,Kharif     ,9587.0,9581,0.999374152498175
CHITRADURGA,Arhar/Tur, 2016-17,Kharif     ,23759.0,6568,0.276442611221011
CHITRADURGA,Arhar/Tur, 2017-18,Kharif     ,13338.0,10099,0.757159994002099
CHITRADURGA,Arhar/Tur, 2018-19,Kharif     ,4054.0,1806,0.445485939812531
CHITRADURGA,Bajra, 1997-98,Kharif     ,5257.0,1816,0.345444169678524
CHITRADURGA,Bajra, 1998-99,Kharif     ,8649.0,6113,0.706786911781709
CHITRADURGA,Bajra, 1999-00,Kharif     ,4852.0,2259,0.46558120362737
CHITRADURGA,Bajra, 2000-01,Kharif     ,5174.0,3919,0.757441051410901
CHITRADURGA,Bajra, 2001-02,Kharif     ,3376.0,1583,0.468898104265403
CHITRADURGA,Bajra, 2002-03,Kharif     ,3557.0,2254,0.633680067472589
CHITRADURGA,Bajra, 2003-04,Kharif     ,3139.0,1212,0.386110226186684
CHITRADURGA,Bajra, 2003-04,Summer     ,7.0,6,0.857142857142857
CHITRADURGA,Bajra, 2004-05,Kharif     ,7171.0,4002,0.558081160228699
CHITRADURGA,Bajra, 2004-05,Summer     ,12.0,12,1
CHITRADURGA,Bajra, 2005-06,Kharif     ,4772.0,4053,0.849329421626153
CHITRADURGA,Bajra, 2006-07,Kharif     ,1072.0,544,0.507462686567164
CHITRADURGA,Bajra, 2006-07,Rabi       ,15.0,11,0.733333333333333
CHITRADURGA,Bajra, 2007-08,Kharif     ,2293.0,2208,0.962930658525949
CHITRADURGA,Bajra, 2008-09,Kharif     ,1581.0,600,0.379506641366224
CHITRADURGA,Bajra, 2008-09,Summer     ,1.0,1,1
CHITRADURGA,Bajra, 2009-10,Kharif     ,1278.0,694,0.543035993740219
CHITRADURGA,Bajra, 2010-11,Kharif     ,1508.0,825,0.547082228116711
CHITRADURGA,Bajra, 2011-12,Kharif     ,1612.0,906,0.562034739454094
CHITRADURGA,Bajra, 2012-13,Kharif     ,1330.0,699,0.525563909774436
CHITRADURGA,Bajra, 2013-14,Kharif     ,2049.0,1110,0.541727672035139
CHITRADURGA,Bajra, 2014-15,Kharif     ,1697.0,1053,0.620506776664702
CHITRADURGA,Bajra, 2015-16,Kharif     ,1799.0,1174,0.652584769316287
CHITRADURGA,Bajra, 2016-17,Kharif     ,1804.0,502,0.278270509977827
CHITRADURGA,Bajra, 2017-18,Kharif     ,3694.0,3836,1.03844071467244
CHITRADURGA,Bajra, 2018-19,Kharif     ,1912.0,783,0.409518828451883
CHITRADURGA,Banana, 1999-00,Whole Year ,575.0,11806,20.5321739130435
CHITRADURGA,Banana, 2000-01,Whole Year ,824.0,9305,11.2924757281553
CHITRADURGA,Banana, 2002-03,Whole Year ,3199.0,49719,15.5420443888715
CHITRADURGA,Banana, 2003-04,Whole Year ,972.0,35307,36.3240740740741
CHITRADURGA,Banana, 2004-05,Whole Year ,1171.0,11100,9.47907771135781
CHITRADURGA,Banana, 2005-06,Whole Year ,724.0,10489,14.4875690607735
CHITRADURGA,Banana, 2006-07,Whole Year ,1329.0,14090,10.601956358164
CHITRADURGA,Banana, 2007-08,Whole Year ,1501.0,17539,11.6848767488341
CHITRADURGA,Banana, 2008-09,Whole Year ,1874.0,14585,7.78281750266809
CHITRADURGA,Banana, 2009-10,Whole Year ,2228.0,18515,8.31014362657092
CHITRADURGA,Banana, 2010-11,Whole Year ,2248.0,27118,12.0631672597865
CHITRADURGA,Banana, 2011-12,Whole Year ,2144.0,28245,13.173973880597
CHITRADURGA,Black pepper, 2013-14,Whole Year ,8.0,20,2.5
CHITRADURGA,Black pepper, 2014-15,Whole Year ,48.0,28.2,0.5875
CHITRADURGA,Black pepper, 2015-16,Whole Year ,75.0,57.4,0.765333333333333
CHITRADURGA,Black pepper, 2016-17,Whole Year ,1.0,0.6,0.6
CHITRADURGA,Black pepper, 2017-18,Whole Year ,24.0,15.8,0.658333333333333
CHITRADURGA,Black pepper, 2018-19,Whole Year ,24.0,15.2,0.633333333333333
CHITRADURGA,Cardamom, 2018-19,Whole Year ,2.0,0.2,0.1
CHITRADURGA,Cashewnut, 2008-09,Whole Year ,14.0,8.60706,0.61479
CHITRADURGA,Cashewnut, 2009-10,Whole Year ,4.0,3,0.75
CHITRADURGA,Cashewnut, 2010-11,Whole Year ,4.0,3,0.75
CHITRADURGA,Cashewnut, 2011-12,Whole Year ,4.0,3,0.75
CHITRADURGA,Cashewnut, 2012-13,Whole Year ,4.0,3,0.75
CHITRADURGA,Cashewnut, 2013-14,Whole Year ,4.0,4,1
CHITRADURGA,Cashewnut, 2014-15,Whole Year ,4.0,3,0.75
CHITRADURGA,Cashewnut, 2017-18,Whole Year ,1.0,1,1
CHITRADURGA,Cashewnut, 2018-19,Whole Year ,10.0,12,1.2
CHITRADURGA,Castor seed, 1998-99,Kharif     ,1342.0,1308,0.974664679582712
CHITRADURGA,Castor seed, 1999-00,Kharif     ,1799.0,1388,0.77153974430239
CHITRADURGA,Castor seed, 2000-01,Kharif     ,3681.0,5759,1.56452051073078
CHITRADURGA,Castor seed, 2001-02,Kharif     ,1838.0,1234,0.671381936887922
CHITRADURGA,Castor seed, 2002-03,Kharif     ,1478.0,2334,1.57916102841678
CHITRADURGA,Castor seed, 2003-04,Kharif     ,1085.0,1068,0.984331797235023
CHITRADURGA,Castor seed, 2004-05,Kharif     ,1335.0,2443,1.82996254681648
CHITRADURGA,Castor seed, 2005-06,Kharif     ,2188.0,2276,1.04021937842779
CHITRADURGA,Castor seed, 2006-07,Kharif     ,2142.0,1711,0.798786181139122
CHITRADURGA,Castor seed, 2007-08,Kharif     ,3074.0,2062,0.670787247885491
CHITRADURGA,Castor seed, 2008-09,Kharif     ,1069.0,846,0.791393826005613
CHITRADURGA,Castor seed, 2009-10,Kharif     ,1581.0,1576,0.996837444655281
CHITRADURGA,Castor seed, 2010-11,Kharif     ,1963.0,1975,1.00611309220581
CHITRADURGA,Castor seed, 2011-12,Kharif     ,952.0,719,0.755252100840336
CHITRADURGA,Castor seed, 2012-13,Kharif     ,777.0,576,0.741312741312741
CHITRADURGA,Castor seed, 2013-14,Kharif     ,685.0,526,0.767883211678832
CHITRADURGA,Castor seed, 2014-15,Kharif     ,652.0,587,0.900306748466258
CHITRADURGA,Castor seed, 2015-16,Kharif     ,767.0,477,0.621903520208605
CHITRADURGA,Castor seed, 2016-17,Kharif     ,657.0,1170,1.78082191780822
CHITRADURGA,Castor seed, 2017-18,Kharif     ,208.0,162,0.778846153846154
CHITRADURGA,Castor seed, 2018-19,Kharif     ,305.0,175,0.573770491803279
CHITRADURGA,Coconut , 1998-99,Whole Year ,36609.0,214268000,5852.87770766751
CHITRADURGA,Coconut , 1999-00,Whole Year ,37205.0,217756000,5852.86923800564
CHITRADURGA,Coconut , 2000-01,Whole Year ,38162.0,223358000,5852.8903097322
CHITRADURGA,Coconut , 2001-02,Whole Year ,39311.0,172562000,4389.66192668719
CHITRADURGA,Coconut , 2002-03,Whole Year ,39618.0,173910000,4389.67136150235
CHITRADURGA,Coconut , 2003-04,Whole Year ,43254.0,189870000,4389.65182410875
CHITRADURGA,Coconut , 2004-05,Whole Year ,43354.0,190309000,4389.65262720856
CHITRADURGA,Coconut , 2005-06,Whole Year ,40668.0,178519000,4389.66755188354
CHITRADURGA,Coconut , 2006-07,Whole Year ,41821.0,183580000,4389.66069677913
CHITRADURGA,Coconut , 2007-08,Whole Year ,42519.0,216488000,5091.55906771091
CHITRADURGA,Coconut , 2008-09,Whole Year ,42563.0,291591000,6850.80938843597
CHITRADURGA,Coconut , 2009-10,Whole Year ,42388.0,295008000,6959.70557705011
CHITRADURGA,Coconut , 2010-11,Whole Year ,42299.0,583165000,13786.7325468687
CHITRADURGA,Coconut , 2011-12,Whole Year ,42531.0,571248000,13431.3324398674
CHITRADURGA,Coconut , 2012-13,Whole Year ,42526.0,571181000,13431.3361237831
CHITRADURGA,Coconut , 2013-14,Whole Year ,38301.0,504271000,13166.0008877053
CHITRADURGA,Coconut , 2014-15,Whole Year ,38729.0,297915000,7692.29776136745
CHITRADURGA,Coconut , 2015-16,Whole Year ,40576.0,370932000,9141.66009463722
CHITRADURGA,Coconut , 2016-17,Whole Year ,40806.0,425471000,10426.6774493947
CHITRADURGA,Coconut , 2017-18,Whole Year ,39437.0,375590000,9523.79744909603
CHITRADURGA,Coconut , 2018-19,Whole Year ,52903.0,343102000,6485.49231612574
CHITRADURGA,Coriander, 1997-98,Whole Year ,782.0,79,0.101023017902813
CHITRADURGA,Coriander, 1998-99,Whole Year ,698.0,70,0.100286532951289
CHITRADURGA,Coriander, 1999-00,Whole Year ,387.0,39,0.10077519379845
CHITRADURGA,Coriander, 2000-01,Whole Year ,391.0,39,0.0997442455242967
CHITRADURGA,Coriander, 2001-02,Whole Year ,127.0,13,0.102362204724409
CHITRADURGA,Coriander, 2002-03,Whole Year ,267.0,27,0.101123595505618
CHITRADURGA,Coriander, 2003-04,Whole Year ,245.0,25,0.102040816326531
CHITRADURGA,Coriander, 2004-05,Whole Year ,270.0,27,0.1
CHITRADURGA,Coriander, 2005-06,Whole Year ,108.0,11,0.101851851851852
CHITRADURGA,Coriander, 2006-07,Whole Year ,161.0,16,0.0993788819875776
CHITRADURGA,Coriander, 2007-08,Whole Year ,215.0,75,0.348837209302326
CHITRADURGA,Coriander, 2008-09,Whole Year ,413.0,265,0.641646489104116
CHITRADURGA,Coriander, 2009-10,Whole Year ,205.0,120,0.585365853658537
CHITRADURGA,Coriander, 2010-11,Whole Year ,88.0,33,0.375
CHITRADURGA,Coriander, 2011-12,Whole Year ,67.0,27,0.402985074626866
