District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield
Gulbarga,Arecanut, 2018-19,Whole Year ,1.0,9,9
Gulbarga,Arhar/Tur, 1997-98,Kharif     ,238994.0,60394,0.252700904625221
Gulbarga,Arhar/Tur, 1998-99,Kharif     ,273391.0,124147,0.454100537325662
Gulbarga,Arhar/Tur, 1999-00,Kharif     ,311666.0,181795,0.583300712942701
Gulbarga,Arhar/Tur, 2000-01,Kharif     ,366678.0,164418,0.448398867671363
Gulbarga,Arhar/Tur, 2001-02,Kharif     ,318250.0,81329,0.255550667714061
Gulbarga,Arhar/Tur, 2002-03,Kharif     ,335663.0,161667,0.481634854005357
Gulbarga,Arhar/Tur, 2003-04,Kharif     ,349894.0,136616,0.390449679045654
Gulbarga,Arhar/Tur, 2004-05,Kharif     ,345723.0,177356,0.513000292141396
Gulbarga,Arhar/Tur, 2005-06,Kharif     ,382765.0,273447,0.714399174428174
Gulbarga,Arhar/Tur, 2006-07,Kharif     ,382521.0,163528,0.42750071237919
Gulbarga,Arhar/Tur, 2007-08,Kharif     ,429589.0,302817,0.704899334014605
Gulbarga,Arhar/Tur, 2008-09,Kharif     ,379769.0,187606,0.494000300182479
Gulbarga,Arhar/Tur, 2009-10,Kharif     ,336853.0,153285,0.455050125722496
Gulbarga,Arhar/Tur, 2010-11,Kharif     ,377775.0,206718,0.547198729402422
Gulbarga,Arhar/Tur, 2011-12,Kharif     ,370523.0,175998,0.47499885297269
Gulbarga,Arhar/Tur, 2012-13,Kharif     ,340119.0,250736,0.737200803248275
Gulbarga,Arhar/Tur, 2013-14,Kharif     ,369537.0,394592,1.06780105916322
Gulbarga,Arhar/Tur, 2014-15,Kharif     ,315343.0,210003,0.66595104378407
Gulbarga,Arhar/Tur, 2015-16,Kharif     ,261076.0,94993,0.363851905192358
Gulbarga,Arhar/Tur, 2016-17,Kharif     ,388914.0,541641,1.39270121415017
Gulbarga,Arhar/Tur, 2017-18,Kharif     ,328808.0,377652,1.14854869711199
Gulbarga,Arhar/Tur, 2018-19,Kharif     ,613760.0,569078,0.927199556830031
Gulbarga,Bajra, 1997-98,Kharif     ,66832.0,39483,0.590779865932487
Gulbarga,Bajra, 1998-99,Kharif     ,74628.0,47736,0.639652677279305
Gulbarga,Bajra, 1999-00,Kharif     ,82670.0,59531,0.720104028063385
Gulbarga,Bajra, 2000-01,Kharif     ,86296.0,77248,0.895151571335867
Gulbarga,Bajra, 2001-02,Kharif     ,59717.0,41750,0.699130900748531
Gulbarga,Bajra, 2002-03,Kharif     ,60130.0,45774,0.761250623648761
Gulbarga,Bajra, 2003-04,Kharif     ,72378.0,52136,0.720329381856365
Gulbarga,Bajra, 2004-05,Kharif     ,68824.0,54244,0.788155294664652
Gulbarga,Bajra, 2005-06,Kharif     ,72667.0,70441,0.969367112994894
Gulbarga,Bajra, 2006-07,Kharif     ,65634.0,43042,0.655788158576348
Gulbarga,Bajra, 2006-07,Rabi       ,4.0,4,1
Gulbarga,Bajra, 2007-08,Kharif     ,61866.0,48530,0.784437332298839
Gulbarga,Bajra, 2007-08,Rabi       ,4.0,2,0.5
Gulbarga,Bajra, 2008-09,Kharif     ,52617.0,41894,0.796206549214132
Gulbarga,Bajra, 2008-09,Summer     ,81.0,61,0.753086419753086
Gulbarga,Bajra, 2009-10,Kharif     ,35856.0,20403,0.569026104417671
Gulbarga,Bajra, 2009-10,Summer     ,373.0,279,0.74798927613941
Gulbarga,Bajra, 2010-11,Kharif     ,18875.0,13796,0.730913907284768
Gulbarga,Bajra, 2011-12,Kharif     ,20942.0,16845,0.804364435106485
Gulbarga,Bajra, 2012-13,Kharif     ,15566.0,16961,1.08961839907491
Gulbarga,Bajra, 2013-14,Kharif     ,14897.0,19870,1.3338256024703
Gulbarga,Bajra, 2014-15,Kharif     ,15642.0,18218,1.16468482291267
Gulbarga,Bajra, 2015-16,Kharif     ,4886.0,3184,0.651657797789603
Gulbarga,Bajra, 2016-17,Kharif     ,12128.0,17755,1.46396767810026
Gulbarga,Bajra, 2017-18,Kharif     ,7481.0,19850,2.65338858441385
Gulbarga,Bajra, 2018-19,Kharif     ,1682.0,2961,1.76040428061831
Gulbarga,Banana, 1999-00,Whole Year ,3099.0,59755,19.2820264601484
Gulbarga,Banana, 2000-01,Whole Year ,2725.0,54176,19.8811009174312
Gulbarga,Banana, 2002-03,Whole Year ,2126.0,50652,23.8250235183443
Gulbarga,Banana, 2003-04,Whole Year ,948.0,10061,10.6128691983122
Gulbarga,Banana, 2004-05,Whole Year ,908.0,17701,19.4944933920705
Gulbarga,Banana, 2005-06,Whole Year ,862.0,20523,23.8085846867749
Gulbarga,Banana, 2006-07,Whole Year ,1131.0,25622,22.6542882404951
Gulbarga,Banana, 2007-08,Whole Year ,1114.0,22293,20.0116696588869
Gulbarga,Banana, 2008-09,Whole Year ,1146.0,19734,17.2198952879581
Gulbarga,Banana, 2009-10,Whole Year ,1886.0,44740,23.7221633085896
Gulbarga,Banana, 2010-11,Whole Year ,2326.0,60127,25.8499570077386
