District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield
Kodagu,Arecanut, 1997-98,Whole Year ,959.0,1342,1.39937434827946
Kodagu,Arecanut, 1998-99,Whole Year ,1097.0,7388,6.73473108477666
Kodagu,Arecanut, 2000-01,Whole Year ,1198.0,1676,1.39899833055092
Kodagu,Arecanut, 2001-02,Whole Year ,1230.0,1721,1.39918699186992
Kodagu,Arecanut, 2003-04,Whole Year ,1344.0,1880,1.39880952380952
Kodagu,Arecanut, 2004-05,Whole Year ,1386.0,1939,1.3989898989899
Kodagu,Arecanut, 2005-06,Whole Year ,1423.0,9582,6.73366127898805
Kodagu,Arecanut, 2006-07,Whole Year ,2298.0,3215,1.39904264577894
Kodagu,Arecanut, 2007-08,Whole Year ,2851.0,19199,6.73412837600842
Kodagu,Arecanut, 2008-09,Whole Year ,2994.0,20162,6.73413493653975
Kodagu,Arecanut, 2009-10,Whole Year ,3067.0,20653,6.73394196283013
Kodagu,Arecanut, 2010-11,Whole Year ,3612.0,39056,10.81284606866
Kodagu,Arecanut, 2011-12,Whole Year ,3838.0,31081,8.09822824387702
Kodagu,Arecanut, 2012-13,Whole Year ,3877.0,31117,8.02605107041527
Kodagu,Arecanut, 2013-14,Whole Year ,3894.0,43373,11.138418079096
Kodagu,Arecanut, 2014-15,Whole Year ,4613.0,42682,9.2525471493605
Kodagu,Arecanut, 2015-16,Whole Year ,4584.0,44932,9.80191972076789
Kodagu,Arecanut, 2016-17,Whole Year ,4588.0,46607,10.1584568439407
Kodagu,Arecanut, 2017-18,Whole Year ,4513.0,48946,10.8455572789719
Kodagu,Arecanut, 2018-19,Whole Year ,7714.0,68877,8.92883069743324
Kodagu,Arhar/Tur, 2005-06,Kharif     ,15.0,10,0.666666666666667
Kodagu,Arhar/Tur, 2006-07,Kharif     ,15.0,7,0.466666666666667
Kodagu,Banana, 1999-00,Whole Year ,171.0,4012,23.4619883040936
Kodagu,Banana, 2000-01,Whole Year ,195.0,3585,18.3846153846154
Kodagu,Banana, 2002-03,Whole Year ,613.0,8188,13.3572593800979
Kodagu,Banana, 2003-04,Whole Year ,164.0,510,3.10975609756098
Kodagu,Banana, 2004-05,Whole Year ,547.0,9767,17.8555758683729
Kodagu,Banana, 2005-06,Whole Year ,563.0,7440,13.214920071048
Kodagu,Banana, 2006-07,Whole Year ,499.0,2376,4.76152304609219
Kodagu,Banana, 2007-08,Whole Year ,1564.0,8940,5.71611253196931
Kodagu,Banana, 2008-09,Whole Year ,1541.0,9973,6.47177157689812
Kodagu,Banana, 2009-10,Whole Year ,1392.0,4325,3.10704022988506
Kodagu,Banana, 2010-11,Whole Year ,1976.0,10145,5.13410931174089
Kodagu,Banana, 2011-12,Whole Year ,1941.0,13760,7.08912931478619
Kodagu,Black pepper, 1997-98,Kharif     ,1385.0,393,0.283754512635379
Kodagu,Black pepper, 1998-99,Whole Year ,1580.0,4489,2.84113924050633
Kodagu,Black pepper, 1999-00,Whole Year ,3547.0,10078,2.84127431632365
Kodagu,Black pepper, 2000-01,Whole Year ,3752.0,10661,2.84141791044776
Kodagu,Black pepper, 2001-02,Whole Year ,4112.0,11683,2.84119649805447
Kodagu,Black pepper, 2002-03,Whole Year ,4167.0,11840,2.84137269018478
Kodagu,Black pepper, 2003-04,Whole Year ,4210.0,11962,2.84133016627078
Kodagu,Black pepper, 2004-05,Whole Year ,5403.0,15352,2.84138441606515
Kodagu,Black pepper, 2005-06,Whole Year ,6733.0,19130,2.8412297638497
Kodagu,Black pepper, 2006-07,Whole Year ,5464.0,15525,2.84132503660322
Kodagu,Black pepper, 2007-08,Whole Year ,7945.0,24855,3.12838263058527
Kodagu,Black pepper, 2008-09,Whole Year ,8880.0,39385,4.43524774774775
Kodagu,Black pepper, 2009-10,Whole Year ,9409.0,35210,3.74216176001701
Kodagu,Black pepper, 2010-11,Whole Year ,10321.0,6038.7,0.585088654200174
Kodagu,Black pepper, 2011-12,Whole Year ,10643.0,2497.2,0.234633092173259
Kodagu,Black pepper, 2012-13,Whole Year ,10797.0,25333,2.34629989811985
Kodagu,Black pepper, 2013-14,Whole Year ,11002.0,25814,2.34630067260498
Kodagu,Black pepper, 2014-15,Whole Year ,14934.0,6653.1,0.445500200883889
Kodagu,Black pepper, 2015-16,Whole Year ,15096.0,6635.6,0.439560148383678
Kodagu,Black pepper, 2016-17,Whole Year ,15219.0,6222.6,0.408870490833826
Kodagu,Black pepper, 2017-18,Whole Year ,15875.0,6915.2,0.435603149606299
Kodagu,Black pepper, 2018-19,Whole Year ,65605.0,27148.7,0.413820592942611
Kodagu,Cardamom, 1997-98,Whole Year ,9800.0,611,0.0623469387755102
Kodagu,Cardamom, 1998-99,Whole Year ,9325.0,582,0.0624128686327078
Kodagu,Cardamom, 1999-00,Whole Year ,8950.0,558,0.0623463687150838
Kodagu,Cardamom, 2000-01,Whole Year ,8943.0,558,0.0623951694062395
Kodagu,Cardamom, 2002-03,Whole Year ,8170.0,510,0.0624235006119951
Kodagu,Cardamom, 2003-04,Whole Year ,8165.0,509,0.0623392529087569
Kodagu,Cardamom, 2004-05,Whole Year ,8267.0,516,0.0624168380307246
Kodagu,Cardamom, 2005-06,Whole Year ,8811.0,550,0.0624219725343321
Kodagu,Cardamom, 2006-07,Whole Year ,12682.0,791,0.062371865636335
Kodagu,Cardamom, 2007-08,Whole Year ,10411.0,1340,0.128710018249928
Kodagu,Cardamom, 2008-09,Whole Year ,9043.0,1164,0.128718345681743
