District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield
RAMANAGARA,Arecanut, 2007-08,Whole Year ,868.0,5846,6.73502304147466
RAMANAGARA,Arecanut, 2008-09,Whole Year ,2051.0,13813,6.73476352998537
RAMANAGARA,Arecanut, 2009-10,Whole Year ,2063.0,13894,6.73485215705284
RAMANAGARA,Arecanut, 2010-11,Whole Year ,2330.0,25194,10.8128755364807
RAMANAGARA,Arecanut, 2011-12,Whole Year ,2331.0,18877,8.0982410982411
RAMANAGARA,Arecanut, 2012-13,Whole Year ,1329.0,10666,8.02558314522197
RAMANAGARA,Arecanut, 2013-14,Whole Year ,1274.0,14190,11.138147566719
RAMANAGARA,Arecanut, 2014-15,Whole Year ,1452.0,13435,9.25275482093664
RAMANAGARA,Arecanut, 2015-16,Whole Year ,1736.0,17016,9.80184331797235
RAMANAGARA,Arecanut, 2016-17,Whole Year ,1878.0,19077,10.1581469648562
RAMANAGARA,Arecanut, 2017-18,Whole Year ,1878.0,20368,10.8455804046858
RAMANAGARA,Arecanut, 2018-19,Whole Year ,1811.0,16170,8.92876863611265
RAMANAGARA,Arhar/Tur, 2007-08,Kharif     ,3615.0,3115,0.861687413554633
RAMANAGARA,Arhar/Tur, 2008-09,Kharif     ,3748.0,2407,0.642209178228389
RAMANAGARA,Arhar/Tur, 2009-10,Kharif     ,3607.0,2700,0.748544496811755
RAMANAGARA,Arhar/Tur, 2010-11,Kharif     ,3363.0,1444,0.429378531073446
RAMANAGARA,Arhar/Tur, 2011-12,Kharif     ,3210.0,2531,0.788473520249221
RAMANAGARA,Arhar/Tur, 2012-13,Kharif     ,3559.0,2008,0.564203427929194
RAMANAGARA,Arhar/Tur, 2013-14,Kharif     ,5030.0,4654,0.925248508946322
RAMANAGARA,Arhar/Tur, 2014-15,Kharif     ,2468.0,1564,0.633711507293355
RAMANAGARA,Arhar/Tur, 2015-16,Kharif     ,3557.0,2774,0.77987067753725
