District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield
RAMNAGARA, 1.RAMANAGARA, 2008-09,Whole Year ,2051.0,13813,6.73476352998537
RAMNAGARA, 1.RAMANAGARA, 2009-10,Whole Year ,2063.0,13894,6.73485215705284
RAMNAGARA, 1.RAMANAGARA, 2010-11,Whole Year ,2330.0,25194,10.8128755364807
RAMNAGARA, 1.RAMANAGARA, 2011-12,Whole Year ,2331.0,18877,8.0982410982411
RAMNAGARA, 1.RAMANAGARA, 2012-13,Whole Year ,1329.0,10666,8.02558314522197
RAMNAGARA, 1.RAMANAGARA, 2013-14,Whole Year ,1274.0,14190,11.138147566719
RAMNAGARA, 1.RAMANAGARA, 2014-15,Whole Year ,1452.0,13435,9.25275482093664
RAMNAGARA, 1.RAMANAGARA, 2015-16,Whole Year ,1736.0,17016,9.80184331797235
RAMNAGARA, 1.RAMANAGARA, 2016-17,Whole Year ,1878.0,19077,10.1581469648562
RAMNAGARA, 1.RAMANAGARA, 2017-18,Whole Year ,1878.0,20368,10.8455804046858
RAMNAGARA, 1.RAMANAGARA, 2018-19,Whole Year ,1811.0,16170,8.92876863611265
RAMNAGARA, 1.RAMANAGARA, 2008-09,Kharif     ,3748.0,2407,0.642209178228389
RAMNAGARA, 1.RAMANAGARA, 2009-10,Kharif     ,3607.0,2700,0.748544496811755
RAMNAGARA, 1.RAMANAGARA, 2010-11,Kharif     ,3363.0,1444,0.429378531073446
RAMNAGARA, 1.RAMANAGARA, 2011-12,Kharif     ,3210.0,2531,0.788473520249221
RAMNAGARA, 1.RAMANAGARA, 2012-13,Kharif     ,3559.0,2008,0.564203427929194
RAMNAGARA, 1.RAMANAGARA, 2013-14,Kharif     ,5030.0,4654,0.925248508946322
RAMNAGARA, 1.RAMANAGARA, 2014-15,Kharif     ,2468.0,1564,0.633711507293355
RAMNAGARA, 1.RAMANAGARA, 2015-16,Kharif     ,3557.0,2774,0.77987067753725
RAMNAGARA, 1.RAMANAGARA, 2016-17,Kharif     ,3275.0,1055,0.322137404580153
RAMNAGARA, 1.RAMANAGARA, 2017-18,Kharif     ,3377.0,2416,0.715427894580989
RAMNAGARA, 1.RAMANAGARA, 2018-19,Kharif     ,1379.0,760,0.551124002900653
RAMNAGARA, 1.RAMANAGARA, 2013-14,Kharif     ,68.0,80,1.17647058823529
RAMNAGARA, 1.RAMANAGARA, 2014-15,Kharif     ,3.0,3,1
RAMNAGARA, 1.RAMANAGARA, 2015-16,Kharif     ,9.0,6,0.666666666666667
RAMNAGARA, 1.RAMANAGARA, 2016-17,Kharif     ,9.0,9,1
