District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield
SHIMOGA,Arecanut, 1997-98,Whole Year ,26588.0,40010,1.50481420189559
SHIMOGA,Arecanut, 1998-99,Whole Year ,19163.0,137087,7.15373375776235
SHIMOGA,Arecanut, 2000-01,Whole Year ,23927.0,36005,1.50478538889121
SHIMOGA,Arecanut, 2001-02,Whole Year ,26359.0,39665,1.50479911984521
SHIMOGA,Arecanut, 2003-04,Whole Year ,28039.0,42193,1.50479689004601
SHIMOGA,Arecanut, 2004-05,Whole Year ,29150.0,43865,1.50480274442539
SHIMOGA,Arecanut, 2005-06,Whole Year ,31167.0,222961,7.15375236628485
SHIMOGA,Arecanut, 2006-07,Whole Year ,32938.0,49565,1.50479689112879
SHIMOGA,Arecanut, 2007-08,Whole Year ,35492.0,253901,7.15375295841316
SHIMOGA,Arecanut, 2008-09,Whole Year ,37631.0,269202,7.15372963779862
SHIMOGA,Arecanut, 2009-10,Whole Year ,41185.0,294627,7.15374529561734
SHIMOGA,Arecanut, 2010-11,Whole Year ,43530.0,373631,8.58329887433954
SHIMOGA,Arecanut, 2011-12,Whole Year ,45411.0,243442,5.36085970359605
SHIMOGA,Arecanut, 2012-13,Whole Year ,47478.0,254522,5.36084081048064
SHIMOGA,Arecanut, 2013-14,Whole Year ,48401.0,538587,11.1276006694077
SHIMOGA,Arecanut, 2014-15,Whole Year ,51689.0,386605,7.47944436920815
SHIMOGA,Arecanut, 2015-16,Whole Year ,52550.0,505418,9.61784966698382
SHIMOGA,Arecanut, 2016-17,Whole Year ,55256.0,629637,11.3949073403793
SHIMOGA,Arecanut, 2017-18,Whole Year ,58855.0,645592,10.969195480418
SHIMOGA,Arecanut, 2018-19,Whole Year ,92241.0,846523,9.17729643000401
SHIMOGA,Arhar/Tur, 1997-98,Kharif     ,1951.0,456,0.233726294208098
SHIMOGA,Arhar/Tur, 1998-99,Kharif     ,508.0,236,0.464566929133858
SHIMOGA,Arhar/Tur, 1999-00,Kharif     ,757.0,431,0.569352708058124
SHIMOGA,Arhar/Tur, 2000-01,Kharif     ,369.0,167,0.452574525745257
SHIMOGA,Arhar/Tur, 2001-02,Kharif     ,721.0,221,0.306518723994452
SHIMOGA,Arhar/Tur, 2002-03,Kharif     ,575.0,269,0.467826086956522
SHIMOGA,Arhar/Tur, 2003-04,Kharif     ,590.0,221,0.374576271186441
SHIMOGA,Arhar/Tur, 2004-05,Kharif     ,324.0,168,0.518518518518518
