District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield
UDUPI,Arecanut, 1998-99,Whole Year ,3629.0,30376,8.3703499586663
UDUPI,Arecanut, 2000-01,Whole Year ,4012.0,7157,1.78389830508475
UDUPI,Arecanut, 2001-02,Whole Year ,4877.0,8700,1.78388353496002
UDUPI,Arecanut, 2003-04,Whole Year ,4954.0,8838,1.78401291885345
UDUPI,Arecanut, 2004-05,Whole Year ,5019.0,8954,1.78402072125922
UDUPI,Arecanut, 2005-06,Whole Year ,5127.0,42915,8.3703920421299
UDUPI,Arecanut, 2006-07,Whole Year ,5174.0,9230,1.78391959798995
UDUPI,Arecanut, 2007-08,Whole Year ,5294.0,44313,8.37041934265206
UDUPI,Arecanut, 2008-09,Whole Year ,5474.0,45820,8.3704786262331
UDUPI,Arecanut, 2009-10,Whole Year ,5864.0,49084,8.37039563437926
UDUPI,Arecanut, 2010-11,Whole Year ,7028.0,86311,12.2810187820148
UDUPI,Arecanut, 2011-12,Whole Year ,7403.0,57642,7.78630285019587
UDUPI,Arecanut, 2012-13,Whole Year ,7501.0,58405,7.78629516064525
UDUPI,Arecanut, 2013-14,Whole Year ,7714.0,60751,7.87542131190044
UDUPI,Arecanut, 2014-15,Whole Year ,7856.0,109506,13.9391547861507
UDUPI,Arecanut, 2015-16,Whole Year ,7905.0,151863,19.2110056925996
UDUPI,Arecanut, 2016-17,Whole Year ,7980.0,81570,10.2218045112782
UDUPI,Arecanut, 2017-18,Whole Year ,8106.0,114476,14.1223784850728
UDUPI,Arecanut, 2018-19,Whole Year ,21628.0,161551,7.46953023857962
UDUPI,Banana, 2000-01,Whole Year ,1091.0,20308,18.6141154903758
UDUPI,Banana, 2002-03,Whole Year ,1086.0,17924,16.5046040515654
UDUPI,Banana, 2003-04,Whole Year ,2350.0,5866,2.49617021276596
UDUPI,Banana, 2004-05,Whole Year ,1025.0,922,0.899512195121951
UDUPI,Banana, 2005-06,Whole Year ,838.0,482,0.575178997613365
UDUPI,Banana, 2006-07,Whole Year ,1627.0,1812,1.11370620774431
UDUPI,Banana, 2007-08,Whole Year ,1298.0,6421,4.94684129429892
UDUPI,Banana, 2008-09,Whole Year ,1345.0,11282,8.38810408921933
UDUPI,Banana, 2009-10,Whole Year ,1305.0,23835,18.264367816092
UDUPI,Banana, 2010-11,Whole Year ,1337.0,26014,19.4569932685116
UDUPI,Banana, 2011-12,Whole Year ,1339.0,28143,21.0179238237491
UDUPI,Black pepper, 1998-99,Whole Year ,223.0,517,2.31838565022421
UDUPI,Black pepper, 2000-01,Whole Year ,243.0,563,2.31687242798354
UDUPI,Black pepper, 2001-02,Whole Year ,258.0,598,2.31782945736434
UDUPI,Black pepper, 2002-03,Whole Year ,259.0,600,2.31660231660232
UDUPI,Black pepper, 2003-04,Whole Year ,260.0,602,2.31538461538462
UDUPI,Black pepper, 2004-05,Whole Year ,271.0,628,2.31734317343173
UDUPI,Black pepper, 2005-06,Whole Year ,280.0,649,2.31785714285714
