District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield
YADGIR,Arhar/Tur, 2010-11,Kharif     ,67495.0,48218,0.71439365878954
YADGIR,Arhar/Tur, 2011-12,Kharif     ,77524.0,29975,0.386654455394458
YADGIR,Arhar/Tur, 2012-13,Kharif     ,61773.0,34389,0.556699528920402
YADGIR,Arhar/Tur, 2013-14,Kharif     ,82658.0,66589,0.805596554477486
YADGIR,Arhar/Tur, 2014-15,Kharif     ,44909.0,28414,0.632701685630943
YADGIR,Arhar/Tur, 2015-16,Kharif     ,79846.0,23666,0.296395561455802
YADGIR,Arhar/Tur, 2016-17,Kharif     ,91971.0,76888,0.836002653010188
YADGIR,Arhar/Tur, 2017-18,Kharif     ,58035.0,59213,1.02029809597657
YADGIR,Arhar/Tur, 2018-19,Kharif     ,110119.0,74798,0.679246996431134
YADGIR,Bajra, 2010-11,Kharif     ,23349.0,18167,0.778063300355476
YADGIR,Bajra, 2010-11,Rabi       ,76.0,50,0.657894736842105
YADGIR,Bajra, 2010-11,Summer     ,617.0,462,0.748784440842788
YADGIR,Bajra, 2011-12,Kharif     ,17401.0,9655,0.554853169358083
YADGIR,Bajra, 2011-12,Rabi       ,828.0,545,0.658212560386473
YADGIR,Bajra, 2011-12,Summer     ,621.0,647,1.04186795491143
YADGIR,Bajra, 2012-13,Kharif     ,21183.0,18977,0.895859887645754
YADGIR,Bajra, 2013-14,Kharif     ,19647.0,20531,1.04499414668906
YADGIR,Bajra, 2014-15,Kharif     ,16160.0,15552,0.962376237623762
YADGIR,Bajra, 2015-16,Kharif     ,14742.0,10350,0.702075702075702
YADGIR,Bajra, 2015-16,Summer     ,871.0,843,0.967853042479908
YADGIR,Bajra, 2016-17,Kharif     ,16773.0,13034,0.777082215465331
YADGIR,Bajra, 2016-17,Summer     ,1090.0,1159,1.06330275229358
YADGIR,Bajra, 2017-18,Kharif     ,8891.0,17704,1.99122708356765
YADGIR,Bajra, 2017-18,Summer     ,4785.0,4859,1.01546499477534
YADGIR,Bajra, 2018-19,Kharif     ,8046.0,9784,1.21600795426299
YADGIR,Bajra, 2018-19,Summer     ,830.0,843,1.01566265060241
YADGIR,Cashewnut, 2018-19,Whole Year ,5.0,6,1.2
YADGIR,Castor seed, 2010-11,Kharif     ,23.0,19,0.826086956521739
YADGIR,Castor seed, 2011-12,Kharif     ,28.0,23,0.821428571428571
YADGIR,Castor seed, 2012-13,Kharif     ,30.0,19,0.633333333333333
YADGIR,Castor seed, 2013-14,Kharif     ,157.0,140,0.89171974522293
YADGIR,Castor seed, 2014-15,Kharif     ,50.0,30,0.6
YADGIR,Castor seed, 2015-16,Kharif     ,26.0,14,0.538461538461538
YADGIR,Castor seed, 2016-17,Kharif     ,23.0,11,0.478260869565217
YADGIR,Castor seed, 2017-18,Kharif     ,15.0,10,0.666666666666667
YADGIR,Castor seed, 2018-19,Kharif     ,14.0,8,0.571428571428571
YADGIR,Coconut , 2010-11,Whole Year ,218.0,2084000,9559.63302752294
YADGIR,Coconut , 2011-12,Whole Year ,218.0,2167000,9940.36697247707
YADGIR,Coconut , 2012-13,Whole Year ,214.0,2107000,9845.79439252336
YADGIR,Coconut , 2013-14,Whole Year ,197.0,1563000,7934.01015228426
YADGIR,Coconut , 2014-15,Whole Year ,168.0,1499000,8922.61904761905
YADGIR,Coconut , 2015-16,Whole Year ,168.0,1405000,8363.09523809524
YADGIR,Coconut , 2016-17,Whole Year ,125.0,977000,7816
YADGIR,Coconut , 2017-18,Whole Year ,123.0,973000,7910.56910569106
YADGIR,Coconut , 2018-19,Whole Year ,26.0,184000,7076.92307692308
YADGIR,Coriander, 2010-11,Whole Year ,1.0,nan,0
YADGIR,Coriander, 2011-12,Whole Year ,2.0,1,0.5
YADGIR,Coriander, 2014-15,Whole Year ,1.0,nan,0
YADGIR,Coriander, 2018-19,Whole Year ,10.0,9,0.9
YADGIR,Cotton(lint), 2010-11,Kharif     ,33316.0,87054,2.61297874894945
YADGIR,Cotton(lint), 2011-12,Kharif     ,61892.0,109239,1.76499386027273
YADGIR,Cotton(lint), 2011-12,Rabi       ,3.0,6,2
YADGIR,Cotton(lint), 2012-13,Kharif     ,59706.0,183167,3.06781562991994
YADGIR,Cotton(lint), 2013-14,Kharif     ,80504.0,381928,4.74421146775316
YADGIR,Cotton(lint), 2014-15,Kharif     ,103866.0,362752,3.49249995186105
YADGIR,Cotton(lint), 2015-16,Kharif     ,101418.0,197787,1.95021593799917
YADGIR,Cotton(lint), 2016-17,Kharif     ,43011.0,103589,2.40843040152519
YADGIR,Cotton(lint), 2017-18,Kharif     ,61479.0,399542,6.49883700125246
YADGIR,Cotton(lint), 2018-19,Kharif     ,145784.0,256612,1.76022060034023
YADGIR,Cowpea(Lobia), 2010-11,Kharif     ,363.0,83,0.228650137741047
YADGIR,Cowpea(Lobia), 2010-11,Rabi       ,54.0,14,0.259259259259259
YADGIR,Cowpea(Lobia), 2011-12,Kharif     ,263.0,139,0.52851711026616
YADGIR,Cowpea(Lobia), 2011-12,Rabi       ,13.0,5,0.384615384615385
YADGIR,Cowpea(Lobia), 2012-13,Kharif     ,83.0,23,0.27710843373494
YADGIR,Cowpea(Lobia), 2012-13,Rabi       ,15.0,5,0.333333333333333
YADGIR,Cowpea(Lobia), 2013-14,Kharif     ,48.0,18,0.375
YADGIR,Cowpea(Lobia), 2013-14,Rabi       ,72.0,30,0.416666666666667
YADGIR,Cowpea(Lobia), 2014-15,Kharif     ,68.0,30,0.441176470588235
YADGIR,Cowpea(Lobia), 2014-15,Rabi       ,38.0,14,0.368421052631579
YADGIR,Cowpea(Lobia), 2014-15,Summer     ,12.0,4,0.333333333333333
YADGIR,Cowpea(Lobia), 2015-16,Kharif     ,47.0,19,0.404255319148936
YADGIR,Cowpea(Lobia), 2015-16,Rabi       ,102.0,45,0.441176470588235
YADGIR,Cowpea(Lobia), 2015-16,Summer     ,14.0,4,0.285714285714286
YADGIR,Cowpea(Lobia), 2016-17,Kharif     ,51.0,39,0.764705882352941
YADGIR,Cowpea(Lobia), 2016-17,Rabi       ,46.0,1,0.0217391304347826
YADGIR,Cowpea(Lobia), 2016-17,Summer     ,35.0,6,0.171428571428571
YADGIR,Cowpea(Lobia), 2017-18,Kharif     ,26.0,6,0.230769230769231
YADGIR,Cowpea(Lobia), 2017-18,Rabi       ,20.0,8,0.4
YADGIR,Cowpea(Lobia), 2017-18,Summer     ,15.0,4,0.266666666666667
YADGIR,Cowpea(Lobia), 2018-19,Kharif     ,165.0,62,0.375757575757576
YADGIR,Dry chillies, 2010-11,Kharif     ,1451.0,1385,0.954514128187457
YADGIR,Dry chillies, 2010-11,Rabi       ,22.0,60,2.72727272727273
YADGIR,Dry chillies, 2010-11,Summer     ,2.0,6,3
YADGIR,Dry chillies, 2011-12,Kharif     ,1559.0,1998,1.28159076330981
YADGIR,Dry chillies, 2011-12,Rabi       ,2.0,5,2.5
YADGIR,Dry chillies, 2011-12,Summer     ,4.0,14,3.5
YADGIR,Dry chillies, 2012-13,Kharif     ,1032.0,1365,1.32267441860465
YADGIR,Dry chillies, 2013-14,Kharif     ,1381.0,1324,0.958725561187545
YADGIR,Dry chillies, 2013-14,Rabi       ,37.0,70,1.89189189189189
YADGIR,Dry chillies, 2014-15,Kharif     ,1145.0,1424,1.24366812227074
YADGIR,Dry chillies, 2014-15,Rabi       ,51.0,96,1.88235294117647
YADGIR,Dry chillies, 2015-16,Kharif     ,548.0,331,0.604014598540146
YADGIR,Dry chillies, 2015-16,Rabi       ,7.0,14,2
YADGIR,Dry chillies, 2016-17,Kharif     ,1679.0,3382,2.01429422275164
YADGIR,Dry chillies, 2016-17,Rabi       ,39.0,84,2.15384615384615
YADGIR,Dry chillies, 2017-18,Kharif     ,756.0,1422,1.88095238095238
YADGIR,Dry chillies, 2017-18,Rabi       ,43.0,87,2.02325581395349
YADGIR,Dry chillies, 2018-19,Kharif     ,1499.0,1860,1.24082721814543
YADGIR,Garlic, 2016-17,Whole Year ,1.0,1,1
YADGIR,Garlic, 2017-18,Whole Year ,21.0,18,0.857142857142857
YADGIR,Gram, 2010-11,Rabi       ,27391.0,18141,0.66229783505531
YADGIR,Gram, 2011-12,Rabi       ,12407.0,4627,0.372934633674539
YADGIR,Gram, 2012-13,Rabi       ,15711.0,9328,0.593724142320667
YADGIR,Gram, 2013-14,Rabi       ,12194.0,8711,0.714367721830408
YADGIR,Gram, 2014-15,Rabi       ,17533.0,12026,0.68590657617065
YADGIR,Gram, 2015-16,Rabi       ,28742.0,10676,0.371442488344583
YADGIR,Gram, 2016-17,Rabi       ,15213.0,13079,0.859725234996385
YADGIR,Gram, 2017-18,Rabi       ,20350.0,15137,0.743832923832924
YADGIR,Gram, 2018-19,Rabi       ,6664.0,3400,0.510204081632653
YADGIR,Groundnut, 2010-11,Kharif     ,5426.0,3893,0.717471433837081
YADGIR,Groundnut, 2010-11,Rabi       ,31286.0,18873,0.603241066291632
YADGIR,Groundnut, 2011-12,Kharif     ,4490.0,2120,0.472160356347439
YADGIR,Groundnut, 2011-12,Rabi       ,23194.0,13247,0.571139087695094
YADGIR,Groundnut, 2012-13,Kharif     ,8608.0,5921,0.687848513011152
YADGIR,Groundnut, 2012-13,Rabi       ,9770.0,16512,1.69007164790174
YADGIR,Groundnut, 2012-13,Summer     ,14431.0,9665,0.669738756842908
YADGIR,Groundnut, 2013-14,Kharif     ,6246.0,5228,0.837015690041627
YADGIR,Groundnut, 2013-14,Summer     ,34699.0,26239,0.756188939162512
YADGIR,Groundnut, 2014-15,Kharif     ,3751.0,3225,0.859770727805918
YADGIR,Groundnut, 2014-15,Summer     ,39607.0,23140,0.584240159567753
