,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
district,BAGALKOT,BANGALORE RURAL,BANGALORE URBAN,BELGAUM,BELLARY,BIDAR,BIJAPUR,CHAMARAJANAGAR,CHIKBALLAPUR,CHIKMAGALUR,CHITRADURGA,DAKSHIN KANNAD,DAVANGERE,DHARWAD,GADAG,GULBARGA,HASSAN,HAVERI,KODAGU,KOLAR,KOPPAL,MANDYA,MYSORE,RAICHUR,RAMNAGARA,SHIMOGA,TUMKUR,UDUPI,UTTAR KANNAD,YADGIR
2006_07,0.439,0.45899999999999996,0.467,0.5820000000000001,0.452,0.59,0.359,0.498,0.42700000000000005,0.574,0.409,0.72,0.611,0.5529999999999999,0.377,0.514,0.573,0.612,0.753,0.474,0.377,0.528,0.557,0.43700000000000006,0.488,0.732,0.434,0.7609999999999999,0.737,0.462
2007_08,0.524,0.607,0.597,0.611,0.535,0.674,0.48200000000000004,0.552,0.585,0.603,0.509,0.6809999999999999,0.626,0.557,0.474,0.614,0.628,0.594,0.701,0.5529999999999999,0.496,0.56,0.556,0.532,0.621,0.695,0.585,0.7390000000000001,0.665,0.5529999999999999
2008_09,0.47600000000000003,0.614,0.621,0.5760000000000001,0.555,0.645,0.401,0.5589999999999999,0.5670000000000001,0.602,0.509,0.67,0.675,0.5579999999999999,0.423,0.585,0.605,0.6509999999999999,0.7509999999999999,0.586,0.469,0.595,0.596,0.518,0.629,0.728,0.5539999999999999,0.727,0.723,0.528
2009_10,0.5529999999999999,0.5770000000000001,0.5770000000000001,0.628,0.5770000000000001,0.612,0.504,0.5429999999999999,0.526,0.648,0.539,0.6890000000000001,0.701,0.645,0.526,0.525,0.648,0.701,0.72,0.529,0.526,0.607,0.614,0.507,0.621,0.7390000000000001,0.591,0.7440000000000001,0.7190000000000001,0.503
2010_11,0.534,0.652,0.632,0.637,0.58,0.6990000000000001,0.535,0.541,0.605,0.626,0.551,0.665,0.698,0.639,0.503,0.626,0.622,0.718,0.7070000000000001,0.591,0.522,0.58,0.564,0.608,0.643,0.7170000000000001,0.601,0.72,0.7440000000000001,0.629
2011_12,0.5529999999999999,0.5770000000000001,0.5770000000000001,0.628,0.5770000000000001,0.612,0.504,0.5429999999999999,0.526,0.649,0.539,0.6890000000000001,0.701,0.645,0.526,0.525,0.648,0.701,0.72,0.528,0.525,0.607,0.614,0.507,0.621,0.7390000000000001,0.591,0.743,0.72,0.503
2012_13,0.467,0.46,0.45399999999999996,0.527,0.493,0.7190000000000001,0.41600000000000004,0.413,0.47,0.5770000000000001,0.43799999999999994,0.677,0.679,0.489,0.386,0.633,0.542,0.6459999999999999,0.733,0.46799999999999997,0.467,0.48,0.495,0.491,0.49700000000000005,0.738,0.45899999999999996,0.723,0.748,0.528
2013_14,0.537,0.619,0.593,0.61,0.624,0.7040000000000001,0.5589999999999999,0.551,0.5710000000000001,0.639,0.514,0.701,0.664,0.565,0.47100000000000003,0.6409999999999999,0.657,0.644,0.71,0.5429999999999999,0.561,0.602,0.602,0.64,0.6859999999999999,0.6970000000000001,0.562,0.7390000000000001,0.727,0.644
2014_15,0.57,0.544,0.49,0.649,0.616,0.6809999999999999,0.514,0.5379999999999999,0.45799999999999996,0.6729999999999999,0.542,0.743,0.738,0.65,0.539,0.618,0.667,0.718,0.7140000000000001,0.415,0.55,0.5379999999999999,0.586,0.612,0.545,0.767,0.527,0.79,0.773,0.632
2015_16,0.502,0.644,0.619,0.5820000000000001,0.5710000000000001,0.6920000000000001,0.41,0.53,0.569,0.6579999999999999,0.537,0.758,0.718,0.503,0.431,0.578,0.6709999999999999,0.6759999999999999,0.782,0.544,0.512,0.618,0.594,0.514,0.6829999999999999,0.782,0.602,0.7909999999999999,0.7959999999999999,0.579
2016_17,0.508,0.515,0.496,0.5920000000000001,0.503,0.67,0.544,0.425,0.508,0.555,0.431,0.657,0.612,0.54,0.426,0.579,0.58,0.65,0.695,0.52,0.47600000000000003,0.51,0.512,0.5,0.5539999999999999,0.679,0.505,0.736,0.706,0.5479999999999999
2017_18,0.5760000000000001,0.611,0.59,0.616,0.544,0.737,0.647,0.597,0.59,0.626,0.48100000000000004,0.71,0.685,0.506,0.435,0.698,0.6609999999999999,0.7,0.764,0.594,0.537,0.633,0.623,0.569,0.6920000000000001,0.767,0.57,0.7909999999999999,0.775,0.67
2018_19,0.535,0.602,0.5720000000000001,0.629,0.505,0.715,0.491,0.5529999999999999,0.483,0.645,0.46,0.7390000000000001,0.6829999999999999,0.573,0.418,0.642,0.625,0.695,0.752,0.54,0.474,0.584,0.601,0.455,0.653,0.772,0.5,0.7879999999999999,0.7879999999999999,0.584
2019_20,0.541,0.575,0.545,0.625,0.518,0.738,0.479,0.561,0.515,0.64,0.49700000000000005,0.674,0.6829999999999999,0.625,0.508,0.66,0.623,0.6970000000000001,0.674,0.536,0.488,0.574,0.597,0.47700000000000004,0.624,0.706,0.53,0.747,0.7290000000000001,0.6509999999999999
