,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
district,BAGALKOT,BANGALORE RURAL,BANGALORE URBAN,BELGAUM,BELLARY,BIDAR,BIJAPUR,CHAMARAJANAGAR,CHIKBALLAPUR,CHIKMAGALUR,CHITRADURGA,DAKSHIN KANNAD,DAVANGERE,DHARWAD,GADAG,GULBARGA,HASSAN,HAVERI,KODAGU,KOLAR,KOPPAL,MANDYA,MYSORE,RAICHUR,RAMNAGARA,SHIMOGA,TUMKUR,UDUPI,UTTAR KANNAD,YADGIR
2006_07,0.49,0.521,0.504,0.608,0.5429999999999999,0.6409999999999999,0.46399999999999997,0.552,0.499,0.607,0.43,0.758,0.622,0.59,0.45899999999999996,0.6509999999999999,0.621,0.609,0.7809999999999999,0.524,0.462,0.601,0.606,0.527,0.565,0.7559999999999999,0.501,0.7709999999999999,0.764,0.57
2007_08,0.519,0.5870000000000001,0.583,0.589,0.557,0.598,0.48200000000000004,0.564,0.52,0.606,0.491,0.72,0.613,0.586,0.489,0.613,0.628,0.619,0.764,0.515,0.516,0.639,0.621,0.556,0.6659999999999999,0.7509999999999999,0.5670000000000001,0.742,0.7440000000000001,0.574
2008_09,0.5,0.636,0.624,0.561,0.56,0.618,0.456,0.617,0.581,0.636,0.505,0.7290000000000001,0.63,0.552,0.462,0.5920000000000001,0.655,0.593,0.765,0.596,0.501,0.662,0.633,0.5820000000000001,0.675,0.71,0.591,0.742,0.71,0.5660000000000001
2009_10,0.525,0.6409999999999999,0.628,0.598,0.609,0.631,0.511,0.597,0.574,0.657,0.5589999999999999,0.736,0.67,0.585,0.511,0.585,0.6809999999999999,0.659,0.78,0.568,0.55,0.652,0.665,0.5760000000000001,0.6729999999999999,0.758,0.622,0.7559999999999999,0.7390000000000001,0.5760000000000001
2010_11,0.541,0.677,0.648,0.635,0.627,0.636,0.56,0.619,0.596,0.6829999999999999,0.595,0.7290000000000001,0.691,0.632,0.53,0.669,0.6990000000000001,0.68,0.7759999999999999,0.574,0.5429999999999999,0.687,0.685,0.6629999999999999,0.71,0.737,0.6459999999999999,0.721,0.76,0.667
2011_12,0.525,0.6409999999999999,0.628,0.599,0.61,0.631,0.511,0.597,0.574,0.657,0.5589999999999999,0.736,0.67,0.585,0.511,0.585,0.6809999999999999,0.659,0.78,0.568,0.55,0.652,0.665,0.5760000000000001,0.6729999999999999,0.758,0.622,0.7559999999999999,0.7390000000000001,0.5770000000000001
2012_13,0.529,0.5379999999999999,0.529,0.5870000000000001,0.5710000000000001,0.659,0.505,0.5,0.545,0.608,0.488,0.735,0.6629999999999999,0.504,0.436,0.675,0.629,0.617,0.772,0.5489999999999999,0.511,0.601,0.586,0.598,0.591,0.735,0.546,0.7490000000000001,0.752,0.599
2013_14,0.57,0.629,0.596,0.627,0.629,0.685,0.611,0.581,0.596,0.6409999999999999,0.51,0.7390000000000001,0.667,0.611,0.528,0.7070000000000001,0.625,0.664,0.7120000000000001,0.5920000000000001,0.569,0.608,0.62,0.684,0.6629999999999999,0.764,0.5660000000000001,0.759,0.762,0.6829999999999999
2014_15,0.568,0.66,0.584,0.63,0.645,0.622,0.551,0.6579999999999999,0.536,0.693,0.552,0.7509999999999999,0.708,0.653,0.5660000000000001,0.643,0.733,0.675,0.804,0.542,0.552,0.706,0.7070000000000001,0.662,0.718,0.767,0.623,0.7809999999999999,0.762,0.665
2015_16,0.5489999999999999,0.642,0.607,0.603,0.645,0.626,0.46299999999999997,0.63,0.62,0.6779999999999999,0.574,0.78,0.6809999999999999,0.5379999999999999,0.49700000000000005,0.603,0.7070000000000001,0.65,0.7909999999999999,0.589,0.5489999999999999,0.6809999999999999,0.6779999999999999,0.618,0.71,0.77,0.643,0.8059999999999999,0.787,0.627
2016_17,0.545,0.534,0.52,0.62,0.57,0.6509999999999999,0.653,0.43700000000000006,0.457,0.557,0.42100000000000004,0.738,0.598,0.537,0.48,0.669,0.561,0.569,0.762,0.475,0.537,0.588,0.52,0.649,0.5770000000000001,0.727,0.496,0.7709999999999999,0.765,0.68
2017_18,0.59,0.675,0.626,0.645,0.67,0.7240000000000001,0.679,0.6859999999999999,0.653,0.732,0.601,0.7340000000000001,0.7070000000000001,0.555,0.522,0.7440000000000001,0.7190000000000001,0.701,0.785,0.626,0.617,0.705,0.705,0.6859999999999999,0.732,0.78,0.6659999999999999,0.763,0.769,0.723
2018_19,0.521,0.639,0.595,0.605,0.557,0.604,0.508,0.631,0.556,0.664,0.48700000000000004,0.738,0.627,0.508,0.41,0.632,0.6809999999999999,0.616,0.769,0.573,0.474,0.672,0.677,0.544,0.6920000000000001,0.758,0.58,0.773,0.764,0.625
2019_20,0.62,0.6809999999999999,0.616,0.6729999999999999,0.693,0.7509999999999999,0.615,0.685,0.644,0.72,0.605,0.72,0.732,0.662,0.5710000000000001,0.754,0.71,0.715,0.6970000000000001,0.633,0.603,0.696,0.665,0.669,0.74,0.782,0.662,0.789,0.7879999999999999,0.7509999999999999
