,District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield,JANUARY_NDVI,FEBRUARY_NDVI,JUNE_NDVI,JULY_NDVI,AUGUST_NDVI,SEPTEMBER_NDVI,OCTOBER_NDVI,NOVEMBER_NDVI,DECEMBER_NDVI
0,Bangalore Urban, 1.BENGALURU URBAN, 1998-99,Whole Year ,81.0,546.0,6.7407407407407405,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,Bangalore Urban, 1.BENGALURU URBAN, 2000-01,Whole Year ,81.0,113.0,1.39506172839506,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,Bangalore Urban, 1.BENGALURU URBAN, 2001-02,Whole Year ,81.0,113.0,1.39506172839506,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,Bangalore Urban, 1.BENGALURU URBAN, 2003-04,Whole Year ,216.0,302.0,1.39814814814815,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,Bangalore Urban, 1.BENGALURU URBAN, 2004-05,Whole Year ,233.0,326.0,1.39914163090129,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
5,Bangalore Urban, 1.BENGALURU URBAN, 2005-06,Whole Year ,274.0,1845.0,6.733576642335769,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
6,Bangalore Urban, 1.BENGALURU URBAN, 2006-07,Whole Year ,247.0,346.0,1.40080971659919,0.354,0.314,0.504,0.43,0.431,0.467,0.504,0.541,0.456
7,Bangalore Urban, 1.BENGALURU URBAN, 2007-08,Whole Year ,326.0,2196.0,6.73619631901841,0.428,0.419,0.442,0.36,0.489,0.597,0.583,0.5760000000000001,0.509
8,Bangalore Urban, 1.BENGALURU URBAN, 2008-09,Whole Year ,315.0,2122.0,6.73650793650794,0.434,0.371,0.47,0.412,0.504,0.621,0.624,0.598,0.562
9,Bangalore Urban, 1.BENGALURU URBAN, 2009-10,Whole Year ,384.0,2586.0,6.734375,0.458,0.37,0.527,0.431,0.466,0.5770000000000001,0.628,0.5770000000000001,0.525
