,District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield,JANUARY_NDVI,FEBRUARY_NDVI,JUNE_NDVI,JULY_NDVI,AUGUST_NDVI,SEPTEMBER_NDVI,OCTOBER_NDVI,NOVEMBER_NDVI,DECEMBER_NDVI
0,Belgaum,Arecanut, 2003-04,Whole Year ,2.0,3.0,1.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,Belgaum,Arecanut, 2004-05,Whole Year ,8.0,11.0,1.375,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,Belgaum,Arecanut, 2005-06,Whole Year ,9.0,58.0,6.44444444444444,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,Belgaum,Arecanut, 2006-07,Whole Year ,9.0,12.0,1.33333333333333,0.424,0.366,0.443,0.481,0.53,0.5820000000000001,0.608,0.569,0.515
4,Belgaum,Arecanut, 2007-08,Whole Year ,7.0,45.0,6.428571428571429,0.39,0.383,0.369,0.43,0.55,0.611,0.589,0.53,0.486
5,Belgaum,Arecanut, 2008-09,Whole Year ,7.0,45.0,6.428571428571429,0.439,0.377,0.366,0.387,0.471,0.5760000000000001,0.561,0.513,0.501
6,Belgaum,Arecanut, 2009-10,Whole Year ,7.0,45.0,6.428571428571429,0.515,0.4270000000000001,0.398,0.473,0.5539999999999999,0.628,0.598,0.544,0.5379999999999999
7,Belgaum,Arecanut, 2010-11,Whole Year ,1.0,11.0,11.0,0.476,0.412,0.386,0.435,0.527,0.637,0.635,0.606,0.552
8,Belgaum,Arecanut, 2011-12,Whole Year ,4.0,32.0,8.0,0.44,0.375,0.416,0.473,0.5539999999999999,0.628,0.599,0.544,0.493
9,Belgaum,Arecanut, 2013-14,Whole Year ,2.0,22.0,11.0,0.447,0.406,0.365,0.429,0.517,0.61,0.627,0.57,0.502
10,Belgaum,Arecanut, 2014-15,Whole Year ,7.0,65.0,9.285714285714288,0.502,0.425,0.451,0.45,0.569,0.649,0.63,0.603,0.5539999999999999
