,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
district,BAGALKOT,BANGALORE RURAL,BANGLORE URBAN,BELGAUM,BELLARY,BIDAR,BIJAPUR,CHAMARAJANAGAR,CHIKBALLAPUR,CHIKMAGALUR,CHITRADURGA,DAKSHIN KANNADA,DAVANGERE,DHARWAD,GADAG,GULBARGA,HASSAN,HAVERI,KODAGU,KOLAR,KOPPAL,MANDHYA,MYSORE,RAICHUR,RAMNAGAR,SHIMOGA,TUMKUR,UDUPI,UTTAR KANNADA,YADGIR
2006_07,0.526,0.541,0.541,0.569,0.526,0.578,0.528,0.619,0.527,0.595,0.441,0.736,0.5429999999999999,0.5760000000000001,0.496,0.612,0.624,0.536,0.753,0.556,0.486,0.622,0.634,0.5760000000000001,0.619,0.6609999999999999,0.526,0.7290000000000001,0.685,0.565
2007_08,0.515,0.563,0.5760000000000001,0.53,0.508,0.515,0.47700000000000004,0.584,0.515,0.595,0.46299999999999997,0.713,0.5589999999999999,0.547,0.495,0.569,0.611,0.5720000000000001,0.7490000000000001,0.5479999999999999,0.473,0.618,0.628,0.522,0.634,0.6779999999999999,0.535,0.716,0.684,0.53
2008_09,0.508,0.609,0.598,0.513,0.512,0.5489999999999999,0.465,0.595,0.5539999999999999,0.602,0.46799999999999997,0.693,0.557,0.542,0.475,0.544,0.634,0.512,0.738,0.569,0.465,0.634,0.616,0.556,0.64,0.642,0.563,0.7,0.628,0.527
2009_10,0.51,0.581,0.5770000000000001,0.544,0.551,0.596,0.49200000000000005,0.604,0.546,0.621,0.5,0.708,0.58,0.535,0.474,0.57,0.639,0.58,0.754,0.565,0.503,0.645,0.654,0.568,0.609,0.6779999999999999,0.557,0.727,0.6779999999999999,0.56
2010_11,0.59,0.649,0.618,0.606,0.606,0.6509999999999999,0.58,0.6629999999999999,0.605,0.662,0.5479999999999999,0.73,0.606,0.621,0.547,0.665,0.6990000000000001,0.637,0.7609999999999999,0.59,0.5429999999999999,0.682,0.698,0.618,0.67,0.701,0.624,0.738,0.71,0.623
2011_12,0.51,0.581,0.5770000000000001,0.544,0.551,0.596,0.491,0.603,0.545,0.621,0.5,0.708,0.58,0.535,0.474,0.57,0.639,0.58,0.754,0.565,0.503,0.645,0.654,0.568,0.609,0.6779999999999999,0.557,0.727,0.679,0.56
2012_13,0.5589999999999999,0.5710000000000001,0.56,0.563,0.5670000000000001,0.644,0.545,0.591,0.557,0.62,0.48200000000000004,0.711,0.5720000000000001,0.522,0.502,0.625,0.6409999999999999,0.5529999999999999,0.74,0.5770000000000001,0.508,0.638,0.636,0.604,0.65,0.679,0.5579999999999999,0.7170000000000001,0.682,0.578
2013_14,0.55,0.569,0.556,0.57,0.524,0.639,0.57,0.619,0.535,0.605,0.45399999999999996,0.7190000000000001,0.56,0.596,0.528,0.655,0.65,0.562,0.76,0.561,0.493,0.655,0.6559999999999999,0.586,0.638,0.696,0.544,0.721,0.7,0.603
2014_15,0.561,0.614,0.5760000000000001,0.603,0.575,0.504,0.562,0.653,0.499,0.642,0.5,0.713,0.607,0.633,0.5429999999999999,0.598,0.664,0.609,0.754,0.536,0.524,0.674,0.679,0.628,0.6859999999999999,0.7,0.586,0.731,0.693,0.624
2015_16,0.541,0.615,0.5820000000000001,0.532,0.55,0.491,0.47600000000000003,0.674,0.57,0.657,0.505,0.738,0.5589999999999999,0.528,0.479,0.48700000000000004,0.6940000000000001,0.5429999999999999,0.77,0.58,0.46,0.6970000000000001,0.7140000000000001,0.578,0.696,0.6709999999999999,0.617,0.752,0.691,0.5489999999999999
2016_17,0.47200000000000003,0.485,0.47,0.498,0.47700000000000004,0.5660000000000001,0.5429999999999999,0.42100000000000004,0.38299999999999995,0.505,0.34600000000000003,0.6990000000000001,0.505,0.43200000000000005,0.389,0.599,0.508,0.446,0.716,0.42,0.424,0.563,0.494,0.594,0.537,0.659,0.44299999999999995,0.7040000000000001,0.68,0.618
2017_18,0.58,0.633,0.5870000000000001,0.6,0.589,0.6579999999999999,0.633,0.657,0.594,0.645,0.507,0.7190000000000001,0.5710000000000001,0.6,0.542,0.6759999999999999,0.6609999999999999,0.605,0.769,0.635,0.5660000000000001,0.677,0.667,0.66,0.675,0.6829999999999999,0.61,0.725,0.716,0.6629999999999999
2018_19,0.486,0.514,0.507,0.5529999999999999,0.517,0.47700000000000004,0.449,0.625,0.449,0.618,0.439,0.701,0.535,0.501,0.41100000000000003,0.5329999999999999,0.63,0.541,0.7340000000000001,0.5,0.43,0.649,0.633,0.5379999999999999,0.635,0.677,0.534,0.718,0.701,0.534
2019_20,0.629,0.6659999999999999,0.626,0.642,0.6679999999999999,0.7190000000000001,0.6729999999999999,0.7140000000000001,0.634,0.701,0.601,0.7290000000000001,0.688,0.635,0.57,0.753,0.716,0.645,0.785,0.66,0.622,0.7340000000000001,0.7390000000000001,0.727,0.731,0.759,0.67,0.758,0.758,0.7140000000000001
