District,Production(Tonnes),Mean Price(Rs./Quintal)
Bangalore_2001_12_December,807,415
Mysore (Bandipalya)_2001_12_December,30,346
Bangalore_2002_1_January,115,465
Davangere_2002_1_January,83,359
Mysore (Bandipalya)_2002_1_January,77,340
Arasikere_2002_8_August,2692,405
Bangalore_2002_8_August,2497,521
Bangarpet_2002_8_August,29,400
Belur_2002_8_August,74,432
Bhadravathi_2002_8_August,9,462
Chamaraj Nagar_2002_8_August,6,398
Channapatana_2002_8_August,49,395
Channarayapatna_2002_8_August,111,395
Chikkamagalore_2002_8_August,16,300
Chintamani_2002_8_August,130,404
Davangere_2002_8_August,200,436
Doddaballa Pur_2002_8_August,3,475
Gowribidanoor_2002_8_August,2,450
Gubbi_2002_8_August,25,432
Hanagal_2002_8_August,10,405
Harappana Halli_2002_8_August,748,452
Harihara_2002_8_August,411,400
Hassan_2002_8_August,562,409
Hirekerur_2002_8_August,30,350
Hiriyur_2002_8_August,10,410
Holenarsipura_2002_8_August,37,373
Honnali_2002_8_August,20,425
Hosadurga_2002_8_August,642,423
Huliyar_2002_8_August,304,423
K.R. Pet_2002_8_August,6,396
Kadur_2002_8_August,540,401
Kolar_2002_8_August,118,453
Kollegal_2002_8_August,10,400
Kunigal_2002_8_August,17,350
Madhugiri_2002_8_August,10,375
Malur_2002_8_August,14,406
Mandya_2002_8_August,30,510
Mysore (Bandipalya)_2002_8_August,88,464
Nagamangala_2002_8_August,220,458
Piriya Pattana_2002_8_August,10,350
Ranebennur_2002_8_August,75,449
Shikaripura_2002_8_August,10,483
Shimoga_2002_8_August,61,469
Sira_2002_8_August,24,450
Srinivasapur_2002_8_August,15,475
Tarikere_2002_8_August,48,408
Tumkur_2002_8_August,135,392
Arasikere_2003_1_January,915,484
Bangalore_2003_1_January,1263,598
Bangarpet_2003_1_January,30,425
Belur_2003_1_January,69,480
Bhadravathi_2003_1_January,6,430
Chamaraj Nagar_2003_1_January,2,400
Channarayapatna_2003_1_January,85,397
Chikkamagalore_2003_1_January,52,377
Chintamani_2003_1_January,40,503
Davangere_2003_1_January,214,454
Doddaballa Pur_2003_1_January,73,528
Gubbi_2003_1_January,1,450
Gundlupet_2003_1_January,3,400
Harappana Halli_2003_1_January,719,476
Harihara_2003_1_January,32,432
Hassan_2003_1_January,757,487
Holenarsipura_2003_1_January,42,495
Honnali_2003_1_January,16,428
Hosadurga_2003_1_January,69,450
Huliyar_2003_1_January,54,477
K.R. Pet_2003_1_January,30,405
K.R.Nagar_2003_1_January,90,410
Kadur_2003_1_January,151,470
Kolar_2003_1_January,17,517
Madhugiri_2003_1_January,6,400
Malur_2003_1_January,1,500
Mysore (Bandipalya)_2003_1_January,67,505
Nagamangala_2003_1_January,146,454
Pavagada_2003_1_January,5,500
Ramanagara_2003_1_January,20,717
Ranebennur_2003_1_January,78,557
Santhesargur_2003_1_January,16,450
Shimoga_2003_1_January,18,470
Sira_2003_1_January,34,475
Srinivasapur_2003_1_January,4,550
Tarikere_2003_1_January,99,415
Tumkur_2003_1_January,96,465
Arasikere_2003_8_August,941,535
Bangalore_2003_8_August,883,718
Bangarpet_2003_8_August,14,500
Belur_2003_8_August,93,563
Bhadravathi_2003_8_August,26,512
Chamaraj Nagar_2003_8_August,12,480
Channapatana_2003_8_August,2,550
Channarayapatna_2003_8_August,103,502
Chikkamagalore_2003_8_August,5,564
Chintamani_2003_8_August,42,366
Davangere_2003_8_August,26,596
Doddaballa Pur_2003_8_August,29,700
Gubbi_2003_8_August,3,555
Harappana Halli_2003_8_August,60,471
Harihara_2003_8_August,10,500
Hassan_2003_8_August,475,589
Hiriyur_2003_8_August,3,600
Holenarsipura_2003_8_August,103,572
Honnali_2003_8_August,10,545
Huliyar_2003_8_August,4,550
K.R. Pet_2003_8_August,6,500
K.R.Nagar_2003_8_August,9,550
Kadur_2003_8_August,125,542
Kanakapura_2003_8_August,6,440
Kolar_2003_8_August,21,600
Kunigal_2003_8_August,32,527
Madhugiri_2003_8_August,8,500
Mysore (Bandipalya)_2003_8_August,122,587
Nagamangala_2003_8_August,106,627
Piriya Pattana_2003_8_August,112,495
Ranebennur_2003_8_August,1,470
Santhesargur_2003_8_August,14,500
Shimoga_2003_8_August,14,604
Sira_2003_8_August,37,554
Tarikere_2003_8_August,31,460
Tumkur_2003_8_August,202,543
Arasikere_2004_1_January,507,513
Bangalore_2004_1_January,1045,700
Bangarpet_2004_1_January,12,475
Belur_2004_1_January,10,520
Bhadravathi_2004_1_January,4,525
Chamaraj Nagar_2004_1_January,11,542
Channapatana_2004_1_January,5,600
Channarayapatna_2004_1_January,56,515
Chintamani_2004_1_January,50,429
Davangere_2004_1_January,169,521
Doddaballa Pur_2004_1_January,60,618
Gubbi_2004_1_January,3,560
Harappana Halli_2004_1_January,396,465
Hassan_2004_1_January,252,514
Holenarsipura_2004_1_January,42,580
Hosadurga_2004_1_January,163,532
Hubli (Amaragol)_2004_1_January,1,425
